zip,ruca,population,median_household_income,within_10_miles_count
1469,Urban,"7,479","$103,984",1.0
1473,Urban,"8,148","$107,738",2.0
1474,Urban,"1,665","$108,068",1.0
1475,Urban,"10,292","$85,000",2.0
1501,Urban,"16,684","$94,267",4.0
1503,Urban,"3,326","$106,908",4.0
1504,Urban,"9,188","$89,129",2.0
1505,Urban,"4,810","$127,833",4.0
1506,Suburban,"3,435","$75,329",2.0
1507,Suburban,"13,312","$106,558",3.0
1510,Urban,"15,221","$84,938",4.0
1515,Suburban,"2,040","$70,660",3.0
1516,Urban,"9,186","$133,854",1.0
1518,Urban,"3,299","$78,673",1.0
1519,Urban,"7,626","$128,824",3.0
1520,Urban,"16,752","$128,245",3.0
1521,Suburban,"2,591","$82,500",1.0
1522,Urban,"2,907","$109,867",2.0
1523,Urban,"8,359","$109,651",3.0
1524,Urban,"6,296","$80,702",3.0
1525,Urban,31,,2.0
1527,Urban,"13,827","$96,672",4.0
1529,Urban,"3,166","$82,131",3.0
1531,Suburban,"1,052","$86,667",0.0
1532,Urban,"15,605","$148,010",3.0
1534,Urban,"6,169","$115,439",3.0
1535,Suburban,"4,757","$77,313",1.0
1536,Urban,"7,141","$89,886",4.0
1537,Urban,"1,775","$61,514",4.0
1540,Urban,"11,529","$110,195",3.0
1541,Suburban,"3,502","$148,438",3.0
1542,Urban,"2,667","$88,295",4.0
1543,Urban,"8,988","$132,000",2.0
1545,Urban,"38,291","$117,909",3.0
1550,Urban,"17,643","$50,414",1.0
1560,Urban,"4,773","$89,779",3.0
1561,Urban,69,,3.0
1562,Urban,"11,963","$68,559",3.0
1564,Urban,"8,015","$119,000",2.0
1566,Urban,"6,507","$105,417",1.0
1568,Urban,"7,826","$141,250",3.0
1569,Urban,"13,948","$115,304",2.0
1570,Urban,"17,664","$64,305",2.0
1571,Urban,"11,890","$75,465",2.0
1581,Urban,"21,213","$118,185",2.0
1583,Urban,"7,607","$94,464",3.0
1585,Suburban,"4,864","$71,667",2.0
1588,Urban,"10,206","$81,438",1.0
1590,Urban,"9,219","$123,542",3.0
1602,Urban,"26,711","$76,287",4.0
1603,Urban,"20,184","$53,166",4.0
1604,Urban,"40,961","$63,107",5.0
1605,Urban,"30,353","$45,709",5.0
1606,Urban,"22,883","$74,765",4.0
1607,Urban,"8,836","$57,880",5.0
1608,Urban,"4,782","$37,962",5.0
1609,Urban,"23,509","$49,333",5.0
1610,Urban,"26,057","$35,642",5.0
1611,Urban,"2,209","$103,405",3.0
1612,Urban,"5,005","$123,958",3.0
1701,Urban,"33,319","$120,811",2.0
1702,Urban,"38,842","$71,602",2.0
1718,Urban,767,"$173,000",1.0
1719,Urban,"5,471","$136,875",1.0
1720,Urban,"23,107","$138,220",0.0
1721,Urban,"18,646","$115,959",2.0
1730,Urban,"14,233","$140,647",1.0
1731,Urban,"1,917","$105,909",0.0
1740,Suburban,"5,606","$167,132",2.0
1741,Suburban,"5,215","$216,000",2.0
1742,Urban,"18,393","$168,934",0.0
1745,Urban,538,"$148,207",3.0
1746,Urban,"14,386","$142,339",2.0
1747,Urban,"6,012","$113,300",2.0
1748,Urban,"18,501","$179,192",3.0
1749,Urban,"20,032","$94,191",2.0
1752,Urban,"41,505","$86,230",3.0
1754,Urban,"10,702","$112,432",1.0
1756,Urban,"6,212","$133,850",3.0
1757,Urban,"30,294","$89,273",2.0
1760,Urban,"36,354","$123,109",1.0
1770,Urban,"4,406","$218,906",1.0
1772,Urban,"9,842","$173,056",3.0
1773,Urban,"5,155","$172,891",0.0
1775,Urban,"7,130","$147,841",1.0
1776,Urban,"18,912","$217,847",2.0
1778,Urban,"14,060","$203,125",1.0
1801,Urban,"40,967","$95,184",2.0
1803,Urban,"26,234","$124,755",2.0
1810,Urban,"35,600","$155,252",3.0
1821,Urban,"31,499","$126,146",3.0
1824,Urban,"26,574","$130,215",3.0
1826,Urban,"32,313","$94,882",4.0
1827,Suburban,"3,369","$177,803",2.0
1830,Urban,"27,403","$66,052",3.0
1832,Urban,"25,526","$70,910",3.0
1833,Urban,"8,384","$130,240",0.0
1834,Urban,"6,739","$121,711",2.0
1835,Urban,"14,164","$92,880",3.0
1840,Urban,"6,814","$28,347",4.0
1841,Urban,"53,180","$47,527",4.0
1843,Urban,"27,804","$61,362",4.0
1844,Urban,"52,502","$87,181",4.0
1845,Urban,"31,394","$120,954",2.0
1850,Urban,"16,438","$59,571",4.0
1851,Urban,"32,469","$72,133",3.0
1852,Urban,"36,740","$68,256",3.0
1854,Urban,"29,157","$58,422",3.0
1860,Urban,"6,698","$88,832",2.0
1862,Urban,"10,719","$106,964",3.0
1863,Urban,"9,697","$108,427",3.0
1864,Urban,"15,549","$123,813",3.0
1867,Urban,"25,511","$145,471",4.0
1876,Urban,"30,930","$112,917",3.0
1879,Urban,"12,454","$130,509",3.0
1880,Urban,"27,179","$110,878",5.0
1886,Urban,"24,535","$161,076",2.0
1887,Urban,"23,311","$146,250",2.0
1890,Urban,"22,875","$184,844",2.0
1901,Urban,"2,291","$24,207",4.0
1902,Urban,"51,008","$53,802",4.0
1904,Urban,"19,912","$94,006",4.0
1905,Urban,"26,962","$64,885",4.0
1906,Urban,"28,521","$93,737",5.0
1907,Urban,"15,183","$112,668",4.0
