ruca,great_circle_distance,origin,destination
Rural,73.14721592058486,"43.848835,-90.468791","43.05184,-89.508886"
Rural,78.32454728545797,"39.83551,-97.269445","40.848775,-96.602547"
Rural,33.64083324004382,"31.869872,-100.163871","31.454068,-100.461483"
Rural,70.10726479266265,"45.410217,-109.771658","44.517878,-109.088985"
Rural,76.22236343996487,"45.702225,-93.816445","45.848159,-95.384245"
Rural,77.74638073614983,"45.997662,-95.963007","46.923742,-95.035089"
Rural,57.0478571500626,"42.533387,-98.004988","42.792042,-96.938688"
Rural,64.11351701494951,"46.382285,-101.961907","46.791788,-100.750279"
Rural,72.7940489790946,"42.309263,-90.181064","42.033367,-91.553014"
Rural,68.17924666478227,"41.38389,-79.345873","40.657885,-80.231688"
Rural,37.05336270580081,"40.62671,-90.30512","40.796247,-89.633913"
Rural,56.525373792055035,"46.149778,-94.99949","45.549784,-94.201036"
Rural,67.13789317129677,"39.056458,-79.821443","40.026311,-79.899043"
Rural,86.04640537937925,"37.8153,-96.61974","38.785496,-97.614718"
Rural,61.443542788239846,"35.27672,-99.13508","34.594596,-98.4391"
Rural,65.85265983443178,"43.95841,-69.6306","43.401057,-70.699664"
Rural,68.27688285162178,"40.85753,-91.83517","40.460974,-90.642001"
Rural,59.61626595700483,"38.210603,-95.457728","39.039411,-95.764837"
Rural,50.245859691570814,"36.697808,-77.935481","35.977444,-77.811841"
Rural,69.60079509568313,"31.407434,-86.083517","32.402735,-86.266453"
Rural,76.13946241155435,"32.736836,-91.510077","32.32522,-90.297614"
Rural,53.32179817235178,"41.570444,-97.863484","40.885465,-98.336171"
Rural,68.87851726000102,"47.305726,-102.202834","46.846649,-100.903448"
Rural,68.45738681704043,"46.09171,-95.816743","46.923742,-95.035089"
Rural,86.34409560176073,"31.852342,-89.50805","32.843389,-90.409165"
Rural,74.46519423293623,"46.45447,-111.650954","47.491168,-111.219167"
Rural,86.75014439806465,"42.632058,-74.667368","43.291367,-76.127509"
Rural,52.872883245744596,"41.106846,-79.900626","40.342403,-79.94663"
Rural,17.386102617200986,"42.386479,-94.454529","42.505409,-94.154016"
Rural,69.61316754894506,"38.868931,-98.676303","38.070038,-97.892188"
Rural,82.87276474703091,"43.746464,-89.138441","42.609896,-89.663968"
Rural,83.34392503914268,"36.065053,-81.901715","35.295444,-80.758198"
Rural,75.47734265531403,"44.93607,-94.69666","44.82848,-93.162416"
Rural,89.72722099570053,"37.006018,-81.570038","35.719801,-81.347531"
Rural,62.972416530283276,"39.766287,-120.618552","39.133005,-119.769702"
Rural,48.19702307021136,"34.50982,-88.20921","35.139697,-88.57436"
Rural,87.28316994872954,"39.7967,-87.86864","40.745127,-86.774935"
Rural,71.83358614813194,"39.118226,-75.876881","38.769351,-77.136118"
Rural,20.40212931006215,"44.98643,-73.44653","44.692522,-73.486674"
Rural,49.54978300101865,"39.3156,-86.95918","39.661539,-86.145198"
Rural,69.26083061357271,"34.653705,-96.030273","35.266094,-95.061902"
Rural,21.04136078642273,"40.075857,-79.452796","40.137309,-79.84277"
Rural,71.57409827388405,"37.985615,-76.499878","38.874865,-75.821569"
Rural,86.42395239642484,"41.763674,-120.179132","42.192994,-121.759535"
Rural,89.59832912639295,"39.596546,-122.032181","38.391339,-121.416312"
Rural,81.41080670313848,"44.84418,-83.46581","45.350236,-84.973224"
Rural,36.983671929753996,"37.722435,-82.469107","38.256814,-82.429924"
Rural,81.406734867524,"43.124819,-94.531189","44.296139,-94.707251"
Rural,43.329956907750514,"46.10711,-116.26431","46.422941,-117.048011"
Rural,32.36823539234764,"42.206787,-74.375508","42.277931,-73.750041"
Rural,41.63459059397445,"47.628946,-99.404936","48.098401,-98.841827"
Rural,43.44350862192265,"46.39358,-97.29954","46.881818,-96.722503"
Rural,80.2687358137897,"29.49357,-96.67109","30.076749,-95.513374"
Rural,71.87771120817561,"39.68194,-96.65974","38.949785,-95.704481"
Rural,51.64953274379909,"31.73349,-87.20471","31.3085,-86.48329"
Rural,77.44102240069114,"44.939704,-71.660073","44.172658,-70.513138"
Rural,83.62804456173988,"43.866832,-72.851495","42.84688,-73.747812"
Rural,67.82818013390829,"42.247455,-110.941119","41.265821,-110.954917"
Rural,73.09737104706464,"34.957481,-96.750209","35.862276,-97.422933"
Rural,64.8830228785499,"39.94981,-78.22862","40.832485,-77.807798"
Rural,61.704348819613564,"40.716275,-94.228794","41.402497,-94.986783"
Rural,77.4370692967596,"36.951533,-78.705413","36.419852,-79.935746"
Rural,52.49908083615183,"41.423996,-100.194253","40.744891,-99.742081"
Rural,64.58494144375587,"44.216093,-117.481258","43.549202,-116.572488"
Rural,89.6010227933132,"47.456856,-116.898603","48.557438,-117.923862"
Rural,86.98717990599475,"44.03508,-69.53671","43.234327,-70.87908"
Rural,52.62157813348389,"38.26528,-105.61167","38.221352,-104.643569"
Rural,39.67090162541416,"40.226923,-89.731758","40.796247,-89.633913"
Rural,69.74470335476086,"43.15147,-72.56037","42.65593,-73.76097"
Rural,46.936011403069415,"44.44895,-75.69412","43.787242,-75.480093"
Rural,58.530202673165064,"39.80461,-87.780032","39.818481,-88.882686"
Rural,48.23728494665501,"39.795407,-93.295805","39.341906,-93.984387"
Rural,63.928901347780034,"34.672342,-100.696501","35.570168,-100.969892"
Rural,76.93782591430967,"37.39177,-82.72905","36.308965,-82.404385"
Rural,56.175677555212175,"48.89584,-98.60262","48.098401,-98.841827"
Rural,82.67150050534426,"29.080478,-97.504179","27.896583,-97.30695"
Rural,87.93123810923763,"41.249476,-98.79476","42.02376,-97.44331"
Rural,63.02343091704745,"44.352274,-104.420625","44.097873,-103.198245"
Rural,86.58927116536564,"39.29288,-79.34449","39.926721,-80.747833"
Rural,83.66004175723761,"43.936189,-74.163697","44.040758,-75.840357"
Rural,13.581644570511232,"34.25647,-99.51676","34.161436,-99.308693"
Rural,60.26825356405084,"41.68084,-99.0062","40.943969,-98.384746"
Rural,73.33347536263469,"47.759107,-97.603773","46.881818,-96.722503"
Rural,82.66070883112292,"31.83099,-87.09387","31.315788,-85.826504"
Rural,48.5560377134436,"44.75984,-89.039052","44.175178,-88.49266"
Rural,73.89352771356343,"34.01483,-90.43176","34.74504,-89.484963"
Rural,53.92252236945986,"42.221141,-97.309909","41.440731,-97.317252"
Rural,79.39226723529124,"36.25234,-121.78267","37.389857,-121.985599"
Rural,88.32636962479606,"37.16196,-105.37834","38.336442,-104.739913"
Rural,26.71381951378814,"41.33137,-102.1438","41.113501,-101.719149"
