zip,15_min,30_min,45_min,60_min
1940,11,28,45,63
1944,5,21,36,58
1945,7,20,42,61
1949,11,27,44,63
1950,10,21,34,51
1951,9,20,34,52
1952,8,21,33,48
1960,10,24,42,62
1965,6,22,38,59
1966,3,15,32,46
1969,10,22,37,54
1970,9,24,42,60
1982,9,21,39,56
1983,11,23,39,58
1984,9,23,39,58
1985,11,20,35,53
2019,15,35,55,73
2021,14,34,55,65
2025,11,20,43,60
2026,13,35,55,64
2030,14,38,57,69
2032,13,37,54,66
2035,16,38,51,64
2038,15,40,53,73
2043,12,25,46,60
2045,11,23,48,62
2047,7,18,36,56
2048,18,37,50,65
2050,8,20,37,55
2052,14,38,54,68
2053,12,40,56,73
2054,14,40,55,72
2056,17,41,54,71
2061,11,26,46,59
2062,15,36,54,67
2066,9,19,41,59
2067,14,38,52,65
2071,15,42,54,67
2072,12,35,51,64
2081,13,40,53,66
2090,13,36,55,66
2093,17,38,52,69
2108,13,30,53,66
2109,13,30,53,66
2110,13,28,52,66
2111,13,30,53,65
2113,13,29,54,66
2114,13,30,53,66
2115,13,31,55,65
2116,13,30,53,65
2118,13,30,52,65
2119,12,32,54,65
2120,13,31,54,65
2121,12,32,54,65
2122,12,31,52,64
2124,12,32,53,64
2125,12,31,54,65
2126,13,32,53,65
2127,12,29,52,65
2128,13,28,53,66
2129,13,30,53,66
2130,13,33,53,66
2131,13,33,54,65
2132,14,33,55,64
2133,13,30,53,66
2134,15,32,54,65
2135,15,33,55,66
2136,13,32,54,64
2138,15,33,54,66
2139,14,32,54,66
2140,15,35,55,66
2141,13,30,53,66
2142,13,31,53,66
2143,14,32,55,66
2144,13,35,54,66
2145,14,34,53,66
2148,13,31,50,66
2149,14,29,51,66
2150,13,28,53,66
2151,13,28,50,66
2152,12,27,52,65
2155,12,34,52,66
2163,15,32,54,66
2169,13,29,51,62
2170,13,29,50,63
2171,13,28,51,63
2176,11,28,49,67
2180,11,29,49,65
2184,13,29,52,62
2186,13,31,53,64
2188,13,28,52,61
2189,13,26,49,61
2190,12,30,50,60
2191,11,28,49,61
2199,13,31,54,65
2203,13,30,53,66
2205,13,30,53,65
2210,12,28,52,65
2215,13,31,54,65
2301,12,32,51,61
2302,11,32,50,61
2322,13,33,51,63
2324,15,30,43,58
2325,13,28,44,57
2330,10,20,34,50
2332,10,22,38,52
2333,11,29,44,57
2338,11,28,39,54
2339,10,26,45,58
2341,11,28,42,56
2343,11,32,50,64
2346,13,26,38,53
2347,14,27,40,53
2350,11,27,39,55
2351,10,29,48,60
2356,16,34,50,61
2357,14,33,50,61
2359,11,26,40,55
2360,5,18,32,44
2364,10,22,37,51
2366,6,18,32,45
2367,6,17,33,45
2368,13,32,54,64
2370,11,28,47,59
2375,15,33,49,60
2379,14,32,46,59
2382,10,29,47,60
2420,13,34,51,66
2421,14,34,53,66
2445,15,33,55,66
2446,13,32,55,65
2451,13,35,53,70
2452,14,34,53,68
2453,15,35,55,68
2457,14,36,58,69
2458,16,34,56,66
2459,16,34,56,66
2460,16,35,56,66
2461,15,35,56,66
2462,17,36,56,69
2464,15,36,57,67
2465,16,35,57,68
2466,16,35,56,69
2467,15,34,53,66
2468,17,36,56,67
2472,15,33,55,67
2474,14,34,54,67
2476,13,34,54,67
2478,13,33,54,67
2481,16,35,58,70
2482,13,35,58,69
2492,14,37,55,67
2493,16,35,57,70
2494,15,36,56,67
2532,5,14,28,37
2534,5,13,26,37
2535,0,2,7,21
2536,3,10,25,32
2537,3,10,21,32
2538,7,17,28,41
2539,1,5,14,27
2540,4,11,25,33
2542,3,11,25,34
2543,4,11,25,32
2553,5,14,27,39
2554,0,0,1,5
2556,5,13,26,36
2557,2,6,19,28
2558,7,15,28,40
2559,5,14,27,39
2561,4,14,26,35
2562,5,14,26,35
2563,4,10,22,32
2564,0,0,1,4
2568,2,8,22,28
2571,7,19,31,42
2575,0,2,8,22
2576,9,21,31,44
2584,0,0,1,4
2601,1,4,14,28
2630,1,6,15,30
2631,0,3,8,21
2632,2,6,17,30
2633,0,1,5,15
2635,2,8,19,30
2637,1,5,15,30
2638,0,4,13,27
2639,0,3,10,21
2641,0,3,13,24
2642,0,1,5,18
2643,0,1,5,15
2644,4,11,24,32
2645,0,2,7,18
2646,0,2,6,17
2647,1,5,14,27
2648,2,7,19,31
2649,3,9,23,32
2650,0,1,5,15
2652,0,0,2,13
2653,0,1,5,17
2655,2,6,17,30
2657,0,1,8,21
2659,0,1,6,15
2660,0,3,10,22
2663,0,0,2,8
2664,1,4,10,25
2666,0,0,1,11
2667,0,0,1,10
2668,2,7,17,32
2670,0,4,10,21
2671,0,3,7,20
2672,1,6,15,29
2673,1,4,14,26
2675,1,4,14,27
2702,17,27,39,54
2703,16,34,50,66
2713,0,5,14,25
2715,18,29,44,56
2717,10,27,36,51
2718,17,28,41,55
2719,7,22,28,44
2720,15,27,38,51
2721,16,25,38,51
2723,16,26,36,51
2724,15,25,39,51
2725,15,27,41,53
2726,16,28,41,53
2738,9,21,29,42
2739,8,21,27,41
2740,9,23,32,48
2743,11,26,32,49
2744,8,22,28,45
2745,11,26,33,51
2746,10,25,32,48
2747,10,24,32,48
2748,7,21,29,43
2760,17,36,51,66
2762,17,38,53,69
2763,17,35,49,66
2764,19,29,44,57
2766,18,34,47,61
2767,18,31,45,59
2769,9,27,40,53
2770,4,17,27,40
2771,16,33,47,61
2777,16,30,44,56
2779,16,28,42,54
2780,20,29,47,59
2790,12,24,32,48
2791,4,16,25,36
2802,15,35,53,72
2804,1,12,21,47
2806,15,29,44,58
2807,0,1,8,20
2808,6,17,31,61
2809,15,29,42,54
2812,3,13,25,48
2813,1,10,22,42
2814,5,21,43,67
2815,6,19,38,59
2816,13,26,46,69
2817,4,18,32,56
2818,11,25,43,60
2822,6,16,29,48
2823,14,28,45,66
2824,14,35,55,75
2825,5,19,39,61
2826,15,32,56,75
2827,5,18,34,59
2828,14,33,51,73
2829,14,32,50,73
2830,15,33,56,77
2831,13,30,46,69
2832,3,15,25,52
2833,1,12,22,52
2835,10,20,35,46
2836,2,15,24,46
2837,3,16,27,39
2838,14,34,52,73
2839,14,31,55,76
2840,9,19,33,45
2841,10,19,34,46
2842,11,19,35,46
2852,10,22,42,56
2857,8,20,41,64
2858,14,32,56,77
2859,13,31,59,76
2860,15,34,51,65
2861,16,34,50,64
2863,16,35,52,66
2864,15,37,53,71
2865,14,36,53,70
2871,12,22,39,49
2872,13,27,40,52
2873,1,14,25,55
2874,10,21,35,50
2875,2,14,24,47
2876,15,34,56,76
2878,13,25,35,50
2879,6,19,31,53
2881,7,20,34,53
2882,4,17,28,47
2885,16,30,43,55
2886,12,26,43,63
2888,14,27,43,61
2889,14,27,43,59
2891,5,13,28,60
2892,3,15,26,50
2893,13,25,44,64
2894,2,11,22,47
2895,14,36,54,75
2896,15,35,55,74
2898,3,15,26,50
2903,15,34,46,63
2904,15,34,49,68
2905,14,33,46,62
2906,14,33,47,63
2907,15,32,46,64
2908,14,32,48,66
2909,14,33,47,65
2910,14,31,46,65
2911,15,36,48,70
2912,14,33,47,62
2914,16,33,47,62
2915,15,31,45,59
2916,15,33,47,62
2917,13,35,54,73
2918,14,33,48,68
2919,15,33,47,68
2921,14,30,45,66
2920,12,32,44,64
3031,8,20,39,57
3032,5,17,30,43
3033,3,17,34,55
3034,5,15,27,39
3036,6,18,29,42
3037,2,15,23,36
3038,12,24,38,55
3042,2,15,26,37
3043,0,4,20,36
3044,5,18,26,39
3045,6,18,37,51
3046,3,9,26,40
3047,0,10,23,47
3048,3,15,30,54
3049,4,17,33,53
3051,12,26,44,61
3052,10,23,42,58
3053,11,26,41,56
3054,10,21,40,56
3055,9,21,42,59
3057,3,15,28,47
3060,13,26,45,62
3062,13,27,47,66
3063,11,26,44,60
3064,11,26,43,59
3070,3,10,28,44
3071,0,6,23,40
3076,12,28,44,61
3077,13,22,30,50
3079,13,25,40,57
3082,1,13,25,48
3084,0,6,20,40
3086,7,21,43,59
3087,12,25,44,59
3101,9,22,36,53
3102,8,21,36,52
3103,10,23,35,54
3104,9,21,36,51
3106,7,20,34,49
3109,10,23,35,53
3110,7,19,38,55
3215,0,2,7,12
3216,0,3,7,18
3217,2,3,10,19
3218,2,10,20,33
3220,2,6,17,30
3221,0,2,11,21
3222,0,3,6,15
3223,1,2,7,11
3224,2,6,19,32
3225,3,8,20,33
3226,1,4,10,23
3227,0,3,5,16
3229,1,7,20,34
3230,0,3,6,15
3231,0,4,7,17
3233,0,2,7,17
3234,2,12,21,37
3235,2,5,13,30
3237,3,6,19,32
3238,0,3,5,9
3240,0,4,6,14
3241,1,3,7,11
3242,0,3,11,29
3243,1,3,8,17
3244,0,8,20,33
3245,2,3,10,20
3246,3,7,18,34
3249,4,10,23,36
3251,0,3,6,8
3253,3,4,11,23
3254,0,4,6,19
3255,0,1,9,21
3256,3,4,10,23
3257,0,3,8,17
3258,2,9,21,36
3259,0,3,6,15
3260,0,2,9,17
3261,3,15,22,36
3262,0,3,6,8
3263,1,9,20,35
3264,1,3,10,17
3266,1,1,7,11
3268,0,3,9,22
3269,2,4,14,27
3273,0,2,9,22
3275,5,19,31,45
3276,3,6,15,29
3278,0,5,14,32
3279,0,2,7,9
3280,0,2,10,21
3281,1,8,23,41
3282,1,3,8,12
3284,0,2,6,15
3285,0,1,6,11
3287,0,2,7,15
3290,2,14,24,35
3291,3,14,23,35
3293,0,2,6,10
3301,4,13,29,43
3303,3,11,26,39
3304,3,9,25,40
3307,2,8,20,33
3431,3,7,22,44
3440,0,2,14,27
3441,2,6,19,34
3442,0,4,17,30
3443,2,4,12,34
3444,2,9,22,43
3445,1,5,16,37
3446,2,5,15,37
3447,2,8,23,42
3448,1,4,13,31
3449,1,9,22,42
3450,2,7,18,40
3451,2,4,15,33
3452,2,8,25,43
3455,2,5,17,39
3456,1,4,13,30
3457,1,4,16,36
3458,1,11,24,47
3461,1,6,17,37
3462,2,4,12,34
3464,1,4,16,35
3465,2,6,20,41
3466,2,4,11,29
3467,2,5,11,28
3470,3,5,18,36
3561,1,2,6,8
3570,1,4,7,12
3574,1,2,5,7
3575,0,3,5,11
3576,0,0,2,3
3579,0,1,2,7
3580,1,2,5,8
3581,1,5,8,14
3582,0,1,2,6
3583,1,2,4,9
3584,0,2,3,7
3585,1,2,4,8
3586,1,2,5,7
3588,1,1,5,9
3590,0,0,3,4
3592,0,0,0,2
3593,1,3,6,12
3595,1,4,5,11
3597,0,1,2,6
3598,1,3,5,9
3601,1,4,10,22
3602,1,3,11,26
3603,1,3,8,19
3604,0,3,9,23
3605,0,2,7,18
3607,1,4,11,23
3608,1,4,9,26
3609,0,3,8,25
3740,1,2,3,8
3741,1,4,7,14
3743,1,2,8,17
3745,1,2,6,12
3748,1,4,8,14
3750,1,3,7,12
3751,0,2,7,15
3752,0,1,6,17
3753,0,2,6,13
3755,1,5,9,16
3765,1,2,4,9
3766,2,6,10,18
3768,0,2,6,10
3770,1,2,5,11
3771,0,2,3,7
3773,1,2,10,19
3774,1,2,4,9
3777,0,3,7,11
3779,1,4,7,11
3780,1,3,4,9
3781,1,2,4,10
3782,0,2,7,15
3784,2,5,10,16
3785,1,2,3,8
3801,6,16,27,39
3809,2,6,17,28
3810,1,6,15,28
3811,14,23,39,53
3812,0,1,6,12
3813,1,2,10,19
3814,0,2,8,21
3816,0,2,8,21
3817,0,1,5,17
3818,1,1,8,18
3819,12,22,36,50
3820,7,15,29,37
3823,5,11,24,32
3824,7,15,27,38
3825,4,12,22,32
3826,13,22,37,52
3827,9,23,32,47
3830,0,6,15,25
3832,1,1,6,18
3833,9,23,31,45
3835,1,10,20,28
3836,0,1,8,18
3837,2,7,19,30
3838,1,2,5,11
3839,6,17,28,35
3840,6,19,27,42
3841,13,23,36,53
3842,7,21,27,45
3844,8,22,30,47
3845,1,1,5,16
3846,0,2,4,11
3847,1,2,10,17
3848,9,23,33,49
3849,1,1,6,17
3850,0,3,7,22
3851,3,13,24,36
3852,3,13,22,32
3853,0,2,8,22
3854,5,13,28,36
3855,1,8,19,27
3856,9,20,28,45
3857,7,20,27,43
3858,13,22,37,54
3860,1,2,8,18
3861,5,14,25,35
3862,6,22,28,45
3864,0,2,10,20
3865,13,22,38,54
3867,5,15,26,37
3868,6,16,25,35
3869,6,15,27,34
3870,6,18,27,40
3871,6,19,26,42
3872,0,6,16,26
3873,13,23,36,51
3874,7,22,30,47
3875,0,1,6,17
3878,6,16,26,35
3882,0,1,11,19
3883,0,3,5,16
3884,2,14,21,35
3885,6,21,27,43
3886,0,2,4,16
3887,1,8,19,26
3890,0,2,7,18
3894,0,1,9,20
3897,0,1,5,17
3901,6,15,26,35
3902,3,8,19,31
3903,7,15,29,37
3904,7,13,28,36
3905,6,12,28,36
3906,3,8,19,32
3907,0,6,10,21
3908,6,10,25,34
3909,7,10,29,33
3910,5,10,25,32
3911,5,10,29,33
4001,2,6,17,25
4002,2,7,15,25
4003,2,5,9,15
4005,4,9,16,25
4006,4,9,14,24
4008,1,4,10,14
4009,0,3,8,15
4010,1,3,12,20
4011,3,7,13,17
4015,2,6,11,16
4017,4,8,11,19
4019,2,6,8,15
4020,0,2,11,19
4021,5,8,12,21
4022,0,4,12,20
4024,1,7,12,21
4027,2,6,19,27
4029,1,6,13,19
4030,2,7,15,23
4032,5,8,12,20
4037,1,1,5,16
4038,4,5,12,19
4039,2,7,10,18
4040,0,4,8,13
4041,0,4,12,21
4042,3,7,15,23
4043,2,8,11,24
4046,2,8,11,24
4047,0,1,10,19
4048,0,7,15,24
4049,0,6,13,21
4050,2,5,8,15
4051,0,2,6,15
4055,1,6,11,19
4056,0,8,17,24
4057,0,4,8,14
4061,0,7,15,23
4062,3,8,14,25
4063,4,9,15,25
4064,5,9,15,25
4066,2,5,9,15
4068,1,2,14,22
4069,3,6,9,16
4071,1,7,10,17
4072,4,9,16,25
4073,4,11,22,32
4074,5,9,14,22
4076,1,7,15,25
4079,2,5,9,16
4083,4,11,22,31
4084,1,7,11,20
4085,1,7,12,21
4086,2,7,12,16
4087,2,7,15,24
4088,0,2,6,12
4090,0,6,11,21
4091,0,6,12,20
4092,4,8,14,23
4093,3,5,14,20
4095,0,7,16,25
4096,4,7,10,20
4097,2,7,9,17
4101,4,7,13,21
4102,4,8,13,21
4103,4,8,14,21
4105,5,8,13,22
4106,4,7,13,21
4107,4,7,13,20
4108,2,5,8,15
4109,2,5,8,15
4110,4,8,12,20
4210,4,8,12,18
4216,0,1,4,8
4217,0,3,6,9
4219,0,2,7,12
4220,2,5,11,14
4221,0,4,7,12
4222,2,6,9,15
4224,1,2,6,11
4226,0,1,4,9
4227,1,2,7,11
4231,0,3,6,10
4234,1,2,7,10
4236,1,5,10,15
4237,0,2,6,9
4238,2,6,12,15
4239,1,2,7,11
4240,4,8,13,18
4250,3,7,13,17
4252,2,7,13,17
4253,0,5,9,15
4254,1,6,8,15
4255,0,2,6,10
4256,2,5,11,15
4257,1,3,8,11
4258,2,6,10,16
4259,2,6,10,16
4260,2,6,11,17
4261,0,1,2,6
4263,1,6,10,16
4265,1,6,10,15
4267,0,2,6,13
4268,1,4,11,15
4270,2,5,12,16
4271,1,4,11,14
4274,3,6,11,15
4275,1,2,6,10
4276,1,4,7,13
4280,4,9,14,17
4281,1,4,11,15
4282,2,5,11,15
4284,1,6,10,15
4285,0,2,4,8
4286,0,2,6,9
4287,2,6,11,15
4289,2,4,9,14
4290,1,4,9,13
4292,1,4,11,13
4294,1,2,7,10
4330,2,7,12,15
4341,1,3,8,16
4342,1,4,10,14
4344,1,8,13,17
4345,1,7,13,16
4346,1,4,11,13
4347,2,8,12,16
4348,0,4,8,16
4349,1,7,8,15
4350,1,4,12,15
4351,1,5,10,13
4352,2,6,9,13
4353,0,4,7,14
4354,0,3,10,13
4355,1,6,10,13
4357,1,3,10,14
4358,2,4,8,15
4359,2,6,13,16
4360,1,5,9,13
4363,1,3,8,14
4364,1,6,11,13
4401,3,4,7,10
4406,0,0,2,7
4408,0,3,4,6
4410,0,4,5,7
4411,2,5,5,8
4412,2,4,8,9
4413,0,0,1,3
4414,0,1,4,6
4415,0,1,4,5
4416,1,3,6,9
4417,0,1,3,5
4418,0,3,5,6
4419,1,3,6,10
4421,0,1,5,8
4422,0,3,5,7
4424,0,0,2,3
4426,0,0,5,6
4427,0,3,7,8
4428,2,3,5,8
4429,2,3,5,8
4430,0,1,1,2
4431,1,3,5,9
4434,1,3,6,10
4435,1,3,6,9
4438,1,4,7,9
4441,0,0,0,3
4442,0,0,0,2
4443,0,0,2,7
4444,2,4,8,10
4448,1,2,4,5
4449,1,4,6,7
4450,1,3,7,9
4451,0,1,1,3
4453,0,3,4,7
4454,0,0,1,3
4455,0,1,1,4
4456,2,3,7,10
4457,1,1,1,3
4459,0,1,1,3
4460,0,1,1,2
4461,2,5,5,8
4462,0,1,1,3
4463,0,0,4,5
4464,0,0,2,6
4468,2,4,5,7
4469,2,5,5,9
4471,0,1,1,3
4472,1,3,6,9
4473,2,5,7,9
4474,2,4,6,9
4475,1,3,4,5
4476,0,1,4,7
4478,0,0,0,0
4479,0,1,3,6
4481,0,0,3,5
4485,0,0,0,3
4487,0,1,1,4
4488,1,4,7,10
4489,2,5,6,9
4490,0,0,1,3
4491,0,0,1,2
4492,0,1,1,2
4493,1,2,4,5
4495,0,1,1,4
4496,1,4,7,9
4497,0,1,2,3
4530,1,6,10,15
4535,0,3,5,12
4537,0,1,5,10
4538,0,1,5,10
4539,0,2,4,9
4541,0,2,3,8
4543,0,2,5,11
4544,0,1,5,10
4547,0,1,3,6
4548,1,2,8,11
4551,0,1,3,8
4553,0,2,5,11
4554,0,2,3,8
4555,0,1,5,12
4556,0,1,5,10
4558,0,2,4,8
4562,1,3,9,11
4563,1,1,3,6
4564,0,2,3,8
4568,0,1,5,9
4570,0,1,6,10
4571,0,1,6,10
4572,0,1,4,8
4573,0,2,5,9
4574,0,2,4,11
4575,0,1,6,10
4576,0,1,6,10
4578,1,4,9,14
4579,1,4,9,14
4605,1,2,3,5
4606,0,0,1,4
4607,0,1,2,3
4609,1,1,3,4
4611,0,0,0,2
4612,0,1,1,4
4613,0,1,1,3
4614,1,3,5,7
4616,0,1,3,4
4617,0,1,4,7
4619,1,1,1,1
4622,0,0,1,4
4623,0,0,1,4
4624,0,1,1,3
4625,0,1,1,4
4626,0,0,1,1
4627,0,1,2,6
4628,0,1,1,1
4630,0,0,1,2
4631,0,1,1,1
4634,1,2,3,6
4635,0,0,1,3
4640,1,2,3,6
4642,0,0,4,7
4643,0,0,1,4
4645,0,0,2,4
