origin,destination,ruca,great_circle_distance,driving_time,driving_distance
"34.301347,-118.901098","34.188244,-118.911191",Urban,7.835906551633051,19.0,15.233531436
"29.487564,-96.794605","29.458533,-96.938246",Rural,8.870046581209355,14.0,11.351826799
"35.95757,-92.21849","35.867263,-92.101816",Rural,9.031130508884244,19.0,12.96179906
"40.80168,-77.899616","40.809754,-77.897126",Urban,0.5728581333336236,3.0,0.8487927860000001
"46.27531,-123.9422","46.144263,-123.913421",Rural,9.158449212805618,21.0,13.463866828
"30.655359,-97.035158","30.644108,-97.033563",Suburban,0.7831301958882039,2.0,1.079321427
"45.063923,-93.302227","45.100494,-93.385906",Urban,4.8011119157043405,10.0,6.198797096000001
"43.85627,-88.985883","43.970655,-88.979085",Rural,7.9104909646068435,18.0,12.16644418
"45.7054,-121.52146","45.712003,-121.538916",Urban,0.957852462411091,5.0,1.4366097519999999
"32.434599,-99.781827","32.409678,-99.779611",Urban,1.726720889088929,6.0,2.2891307640000003
"34.909109,-81.052437","34.944158,-80.963486",Suburban,5.590664492758514,14.0,6.320585812
"42.00693,-94.96999","42.07942,-94.891613",Rural,6.423357994809155,11.0,9.05958918
"39.609911,-79.983141","39.645871,-79.998579",Urban,2.61690183435018,10.0,4.705642583
"33.793491,-84.258421","33.883487,-84.218877",Urban,6.619321881318735,17.0,8.271069381
"33.573999,-82.312058","33.466721,-82.213991",Urban,9.319379419239883,21.0,13.517304734000001
"25.799306,-80.319002","25.741947,-80.433227",Urban,8.137531650302545,17.0,11.333185669
"39.961458,-82.415819","40.028247,-82.443462",Suburban,4.84110299073071,11.0,7.075551577000001
"43.52424,-71.70091","43.454388,-71.577061",Rural,7.863553986167739,22.0,12.199376843
"39.04963,-87.126965","39.04963,-87.126965",Suburban,0.0,1.0,0.0
"40.94245,-83.192192","40.83503,-83.232264",Suburban,7.711508328085815,13.0,9.01609321
"39.991864,-80.805716","39.926721,-80.747833",Suburban,5.445716097095654,21.0,11.200833646
"38.66977,-86.99834","38.640032,-87.176879",Rural,9.85004129806038,16.0,12.026635705
"40.748087,-87.82876","40.775338,-87.695852",Rural,7.205885284648,14.0,8.91667385
"42.537028,-122.883923","42.469205,-122.813827",Urban,5.891418293058861,13.0,8.489791973
"39.445257,-76.421783","39.378836,-76.507215",Suburban,6.469881365395645,12.0,6.62381486
"40.17982,-76.17884","40.167202,-76.15271",Urban,1.6319019444584355,6.0,1.980930748
"43.289809,-88.533958","43.325076,-88.400694",Suburban,7.129598123265994,13.0,8.991859741
"36.648635,-119.998749","36.734798,-120.043616",Urban,6.451422943294213,15.0,8.957062965
"36.04803,-80.182863","36.027742,-80.263214",Urban,4.703041455707171,15.0,6.676010024
"45.515121,-122.496052","45.410434,-122.625928",Urban,9.58806838036118,27.0,14.455574944
"36.951914,-92.665499","36.962297,-92.677068",Suburban,0.9605470809094216,3.0,1.468921044
"40.037523,-88.961338","39.899809,-88.951969",Suburban,9.528056342976871,14.0,10.194833997
"39.84692,-82.88487","39.938488,-82.785334",Urban,8.238320609845971,18.0,11.778087305
"38.2081,-91.16042","38.221072,-91.15785",Suburban,0.90707359980735,4.0,1.247712968
"42.055701,-70.875936","42.096293,-70.968619",Urban,5.519004369286401,16.0,7.4390536119999995
"41.263559,-80.54444","41.251977,-80.45179",Urban,4.878416128222571,13.0,6.745603576
"40.233577,-74.657602","40.372616,-74.663248",Urban,9.611285785895529,22.0,10.826146932999999
"47.615192,-122.350581","47.608702,-122.139631",Urban,9.836109958763616,26.0,13.430934165
"41.28478,-79.57394","41.348938,-79.718137",Rural,8.697424128381229,13.0,9.245379109
"34.97453,-92.01653","34.953346,-92.007053",Urban,1.558942281602123,4.0,1.906366228
"40.850884,-74.701558","40.817863,-74.838698",Urban,7.523454960714115,19.0,9.939450516
"38.366857,-81.557024","38.319786,-81.714216",Urban,9.118060995338569,22.0,13.077374065999999
"42.134257,-80.084042","42.065733,-80.193856",Urban,7.355908419156646,16.0,8.285360914
"41.73392,-87.7795","41.695777,-87.598194",Urban,9.715294009771126,31.0,13.301688997
"38.15316,-81.21483","38.059457,-81.103399",Suburban,8.866673440164043,23.0,14.632665679
"44.927141,-122.986105","44.91405,-122.995606",Urban,1.016950681446173,6.0,2.362452542
"41.786516,-74.658843","41.666871,-74.67981",Suburban,8.337086625287455,14.0,8.592939559000001
"33.88856,-118.351813","33.90152,-118.361409",Urban,1.0510537667546742,5.0,1.4440662039999999
"40.142907,-122.340888","40.161166,-122.235794",Urban,5.691653833693315,12.0,6.722612849000001
"42.51898,-71.42951","42.623125,-71.360694",Urban,8.002473230750393,17.0,12.236659103000001
"37.394138,-76.835415","37.275615,-76.751346",Suburban,9.401725653565572,19.0,14.482915268
"37.457565,-82.664491","37.506823,-82.539872",Suburban,7.633391955521151,21.0,14.305824533
"26.1498,-97.91361","26.173341,-97.990828",Urban,5.057377406055301,8.0,5.726555136
"28.508779,-81.070334","28.537061,-81.148933",Suburban,5.156163758805605,16.0,10.245165048
"42.574598,-88.137535","42.469012,-88.064698",Suburban,8.184054939270178,20.0,10.624822729
"39.729002,-93.667032","39.777541,-93.554194",Suburban,6.86834262655223,12.0,9.226737979000001
"41.90943,-72.54263","41.918511,-72.608555",Urban,3.447167681298388,8.0,4.191768766
"29.422404,-98.525943","29.48757,-98.668423",Urban,9.6825303472694,28.0,11.405886076000002
"40.024761,-75.222473","40.028757,-75.099964",Urban,6.487569166218657,16.0,8.46928673
"33.405675,-88.993677","33.44195,-88.852052",Suburban,8.542976766104166,18.0,12.347263140999999
"37.25332,-113.28467","37.172602,-113.364525",Suburban,7.1001152202149225,17.0,10.558336032000001
"37.542404,-97.36324","37.637998,-97.354158",Urban,6.62360646335629,14.0,7.576997974
"37.780216,-79.986963","37.767561,-79.991081",Suburban,0.9028374352797224,7.0,1.821238401
"41.20156,-78.583502","41.128104,-78.737404",Suburban,9.478498780387293,16.0,10.915002986
"34.488692,-88.963649","34.492036,-89.029045",Suburban,3.7313498305729738,11.0,5.978210391
"38.893794,-77.032798","38.780236,-77.076863",Urban,8.196685554239213,22.0,9.679717437999999
"41.748999,-72.609884","41.739969,-72.713381",Urban,5.371841205018104,16.0,9.501383961
"40.082192,-79.930266","40.026311,-79.899043",Suburban,4.199298646985401,10.0,5.886868854
"31.303213,-97.039384","31.306232,-96.875347",Suburban,9.686091883796054,16.0,11.284718731000002
"41.613626,-87.04613","41.548155,-87.17912",Urban,8.228368005850713,23.0,12.095607886000002
"35.02572,-76.82549","34.914009,-76.936471",Suburban,9.952837625830076,41.0,34.773785273
"29.994499,-95.177499","29.894458,-95.06497",Urban,9.65230371569042,25.0,15.158345545
"28.452157,-81.46784","28.495606,-81.506933",Urban,3.8274928539952167,15.0,5.445695444
"35.30925,-90.23621","35.203043,-90.189551",Suburban,7.796112980526517,10.0,7.874634683
"37.2782,-76.50384","37.400444,-76.528759",Urban,8.556464147892566,14.0,9.249728705999999
"39.392107,-76.489277","39.470546,-76.643368",Urban,9.848637085958751,22.0,12.261513943
"40.716101,-74.065535","40.659995,-74.106691",Urban,4.435874726795263,16.0,5.827838609
"43.90636,-90.9193","43.940688,-90.834053",Suburban,4.860386032456761,7.0,5.92166563
"40.911838,-89.644497","40.796247,-89.633913",Suburban,8.005708826881591,14.0,9.209339590999999
"38.854462,-77.059721","38.962078,-77.027285",Urban,7.637329530866396,28.0,10.625444100000001
"34.25082,-89.962994","34.305429,-89.919171",Suburban,4.527289529153052,11.0,6.84750842
"61.214877,-149.886174","61.19185,-149.880456",Urban,1.6023557023122208,5.0,1.785820254
"43.080185,-88.264875","43.01455,-88.1041",Urban,9.2987729974505,15.0,11.096443318
"41.932278,-93.654229","42.05207,-93.622077",Suburban,8.439915384019573,20.0,10.049433183
"34.200833,-118.6649","34.281962,-118.791349",Urban,9.142518034293127,26.0,16.551459327
"41.35002,-83.796033","41.356621,-83.653679",Suburban,7.39725576220819,12.0,9.469072669
"37.78068,-80.39396","37.811926,-80.429334",Suburban,2.8966924863455263,9.0,4.455851441
