zip,15_min,30_min,45_min,60_min,ruca,population,median_household_income
1564,10,26,55,71,Urban,"8,015","$119,000"
1566,8,25,48,83,Urban,"6,507","$105,417"
1568,12,37,60,78,Urban,"7,826","$141,250"
1569,15,34,60,76,Urban,"13,948","$115,304"
1570,11,27,55,83,Urban,"17,664","$64,305"
1571,10,28,57,82,Urban,"11,890","$75,465"
1581,12,35,57,77,Urban,"21,213","$118,185"
1583,12,25,59,74,Urban,"7,607","$94,464"
1585,3,17,29,59,Suburban,"4,864","$71,667"
1588,13,33,61,79,Urban,"10,206","$81,438"
1590,12,29,59,80,Urban,"9,219","$123,542"
1602,11,25,59,80,Urban,"26,711","$76,287"
1603,10,26,57,80,Urban,"20,184","$53,166"
1604,11,25,60,79,Urban,"40,961","$63,107"
1605,13,25,60,80,Urban,"30,353","$45,709"
1606,13,25,59,78,Urban,"22,883","$74,765"
1607,12,24,59,79,Urban,"8,836","$57,880"
1608,11,26,60,79,Urban,"4,782","$37,962"
1609,13,26,59,79,Urban,"23,509","$49,333"
1610,11,25,59,79,Urban,"26,057","$35,642"
1611,11,27,58,79,Urban,"2,209","$103,405"
1612,12,24,56,81,Urban,"5,005","$123,958"
1701,10,38,57,74,Urban,"33,319","$120,811"
1702,10,40,57,76,Urban,"38,842","$71,602"
1718,14,33,52,72,Urban,767,"$173,000"
1719,11,34,52,73,Urban,"5,471","$136,875"
1720,11,34,53,72,Urban,"23,107","$138,220"
1721,11,39,57,76,Urban,"18,646","$115,959"
1730,12,31,53,67,Urban,"14,233","$140,647"
1731,13,35,53,69,Urban,"1,917","$105,909"
1740,6,19,42,65,Suburban,"5,606","$167,132"
1741,4,23,41,60,Suburban,"5,215","$216,000"
1742,13,34,54,72,Urban,"18,393","$168,934"
1745,11,37,56,75,Urban,538,"$148,207"
1746,12,38,58,74,Urban,"14,386","$142,339"
1747,12,37,57,76,Urban,"6,012","$113,300"
1748,13,39,59,75,Urban,"18,501","$179,192"
1749,13,35,56,74,Urban,"20,032","$94,191"
1752,13,36,56,74,Urban,"41,505","$86,230"
1754,10,35,53,72,Urban,"10,702","$112,432"
1756,14,35,57,75,Urban,"6,212","$133,850"
1757,13,38,57,76,Urban,"30,294","$89,273"
1760,11,38,57,71,Urban,"36,354","$123,109"
1770,13,39,57,73,Urban,"4,406","$218,906"
1772,12,37,57,75,Urban,"9,842","$173,056"
1773,14,35,54,70,Urban,"5,155","$172,891"
1775,12,36,54,74,Urban,"7,130","$147,841"
1776,12,35,55,71,Urban,"18,912","$217,847"
1778,13,37,56,71,Urban,"14,060","$203,125"
1801,13,29,49,66,Urban,"40,967","$95,184"
1803,13,30,50,66,Urban,"26,234","$124,755"
1810,12,28,46,64,Urban,"35,600","$155,252"
1821,13,31,49,67,Urban,"31,499","$126,146"
1824,15,31,49,69,Urban,"26,574","$130,215"
1826,13,28,46,63,Urban,"32,313","$94,882"
1827,4,21,39,55,Suburban,"3,369","$177,803"
1830,14,21,39,53,Urban,"27,403","$66,052"
1832,12,25,40,55,Urban,"25,526","$70,910"
1833,13,23,37,55,Urban,"8,384","$130,240"
1834,14,22,38,54,Urban,"6,739","$121,711"
1835,14,24,39,56,Urban,"14,164","$92,880"
1840,13,25,42,61,Urban,"6,814","$28,347"
1841,15,25,42,61,Urban,"53,180","$47,527"
1843,13,25,44,62,Urban,"27,804","$61,362"
1844,15,25,42,59,Urban,"52,502","$87,181"
1845,13,26,42,61,Urban,"31,394","$120,954"
1850,13,28,46,65,Urban,"16,438","$59,571"
1851,14,30,48,66,Urban,"32,469","$72,133"
1852,13,28,48,66,Urban,"36,740","$68,256"
1854,14,30,48,65,Urban,"29,157","$58,422"
1860,11,22,37,54,Urban,"6,698","$88,832"
1862,15,32,49,67,Urban,"10,719","$106,964"
1863,15,29,48,67,Urban,"9,697","$108,427"
1864,11,28,47,64,Urban,"15,549","$123,813"
1867,13,29,47,65,Urban,"25,511","$145,471"
1876,12,30,47,66,Urban,"30,930","$112,917"
1879,13,26,46,67,Urban,"12,454","$130,509"
1880,11,29,48,65,Urban,"27,179","$110,878"
1886,11,33,50,68,Urban,"24,535","$161,076"
1887,12,30,47,66,Urban,"23,311","$146,250"
1890,13,31,51,66,Urban,"22,875","$184,844"
1901,8,25,45,64,Urban,"2,291","$24,207"
1902,9,23,44,62,Urban,"51,008","$53,802"
1904,10,23,47,62,Urban,"19,912","$94,006"
1905,9,24,47,65,Urban,"26,962","$64,885"
1906,10,25,47,66,Urban,"28,521","$93,737"
1907,8,23,44,62,Urban,"15,183","$112,668"
1908,9,25,46,64,Urban,"3,354","$99,456"
1913,10,22,34,52,Urban,"17,286","$87,433"
1915,7,23,38,59,Urban,"41,545","$89,076"
1921,13,23,41,60,Urban,"8,265","$186,899"
1922,12,21,36,52,Urban,"3,929","$193,667"
1923,10,26,43,61,Urban,"27,789","$105,654"
1929,8,19,37,53,Urban,"3,650","$115,670"
1930,6,17,32,50,Urban,"29,814","$82,984"
1937,11,26,44,63,Urban,177,
1938,10,20,38,55,Urban,"13,740","$111,701"
1940,11,28,45,63,Urban,"13,023","$144,116"
1944,5,21,36,58,Urban,"5,382","$193,279"
1945,7,20,42,61,Urban,"20,397","$154,049"
1949,11,27,44,63,Urban,"9,726","$155,482"
1950,10,21,34,51,Urban,"18,282","$115,807"
1951,9,20,34,52,Urban,"2,816","$122,344"
1952,8,21,33,48,Urban,"9,152","$92,048"
1960,10,24,42,62,Urban,"54,051","$83,539"
1965,6,22,38,59,Urban,903,"$223,570"
1966,3,15,32,46,Urban,"7,014","$88,377"
1969,10,22,37,54,Urban,"6,135","$124,196"
1970,9,24,42,60,Urban,"44,372","$72,994"
1982,9,21,39,56,Urban,"7,641","$116,955"
1983,11,23,39,58,Urban,"6,530","$155,208"
1984,9,23,39,58,Urban,"5,006","$154,375"
1985,11,20,35,53,Urban,"4,500","$164,250"
2019,15,35,55,73,Urban,"16,934","$109,042"
2021,14,34,55,65,Urban,"24,122","$118,814"
2025,11,20,43,60,Urban,"8,295","$156,689"
2026,13,35,55,64,Urban,"25,308","$108,047"
2030,14,38,57,69,Urban,"5,894","$250,001"
2032,13,37,54,66,Urban,"4,878","$161,292"
2035,16,38,51,64,Urban,"18,431","$95,410"
2038,15,40,53,73,Urban,"33,057","$127,608"
2043,12,25,46,60,Urban,"24,061","$154,300"
2045,11,23,48,62,Urban,"10,120","$117,120"
2047,7,18,36,56,Urban,187,"$93,309"
2048,18,37,50,65,Urban,"23,768","$122,274"
2050,8,20,37,55,Urban,"25,841","$109,524"
2052,14,38,54,68,Urban,"12,775","$196,820"
2053,12,40,56,73,Urban,"13,610","$147,276"
2054,14,40,55,72,Urban,"8,481","$131,138"
2056,17,41,54,71,Urban,"11,531","$168,281"
2061,11,26,46,59,Urban,"11,258","$172,022"
2062,15,36,54,67,Urban,"31,256","$96,414"
2066,9,19,41,59,Urban,"18,781","$132,639"
2067,14,38,52,65,Urban,"18,477","$157,928"
2071,15,42,54,67,Urban,"1,248","$183,894"
2072,12,35,51,64,Urban,"29,028","$94,823"
2081,13,40,53,66,Urban,"20,287","$129,972"
2090,13,36,55,66,Urban,"16,066","$171,071"
2093,17,38,52,69,Urban,"12,077","$147,201"
2108,13,30,53,66,Urban,"4,225","$151,793"
2109,13,30,53,66,Urban,"3,627","$156,351"
2110,13,28,52,66,Urban,"2,307","$123,942"
2111,13,30,53,65,Urban,"7,841","$65,587"
2113,13,29,54,66,Urban,"6,726","$100,613"
2114,13,30,53,66,Urban,"13,401","$118,125"
2115,13,31,55,65,Urban,"28,559","$47,486"
2116,13,30,53,65,Urban,"22,587","$121,967"
2118,13,30,52,65,Urban,"27,718","$71,096"
2119,12,32,54,65,Urban,"28,307","$34,987"
2120,13,31,54,65,Urban,"15,082","$50,728"
2121,12,32,54,65,Urban,"29,888","$40,732"
2122,12,31,52,64,Urban,"23,747","$77,081"
2124,12,32,53,64,Urban,"56,070","$65,683"
2125,12,31,54,65,Urban,"32,614","$60,612"
2126,13,32,53,65,Urban,"25,572","$61,180"
2127,12,29,52,65,Urban,"35,266","$131,782"
2128,13,28,53,66,Urban,"45,501","$71,630"
2129,13,30,53,66,Urban,"20,411","$140,534"
2130,13,33,53,66,Urban,"41,112","$106,153"
2131,13,33,54,65,Urban,"32,609","$93,601"
2132,14,33,55,64,Urban,"26,437","$114,596"
2133,13,30,53,66,Urban,0,
2134,15,32,54,65,Urban,"18,437","$70,021"
2135,15,33,55,66,Urban,"45,024","$85,792"
2136,13,32,54,64,Urban,"40,947","$81,859"
2138,15,33,54,66,Urban,"39,370","$108,692"
2139,14,32,54,66,Urban,"39,707","$113,374"
2140,15,35,55,66,Urban,"20,060","$119,827"
2141,13,30,53,66,Urban,"13,953","$96,563"
2142,13,31,53,66,Urban,"4,172","$137,723"
2143,14,32,55,66,Urban,"25,264","$111,201"
2144,13,35,54,66,Urban,"25,367","$117,601"
2145,14,34,53,66,Urban,"27,359","$99,035"
2148,13,31,50,66,Urban,"65,386","$77,082"
2149,14,29,51,66,Urban,"48,584","$71,574"
2150,13,28,53,66,Urban,"40,009","$64,688"
2151,13,28,50,66,Urban,"60,736","$72,971"
2152,12,27,52,65,Urban,"19,088","$86,780"
2155,12,34,52,66,Urban,"62,996","$107,937"
2163,15,32,54,66,Urban,"2,198","$67,292"
2169,13,29,51,62,Urban,"60,459","$80,087"
2170,13,29,50,63,Urban,"20,130","$92,052"
2171,13,28,51,63,Urban,"19,923","$90,558"
2176,11,28,49,67,Urban,"29,401","$125,000"
2180,11,29,49,65,Urban,"23,077","$105,541"
2184,13,29,52,62,Urban,"38,712","$114,916"
2186,13,31,53,64,Urban,"28,414","$154,125"
2188,13,28,52,61,Urban,"16,169","$98,327"
2189,13,26,49,61,Urban,"15,265","$80,020"
2190,12,30,50,60,Urban,"17,927","$93,988"
2191,11,28,49,61,Urban,"7,856","$95,846"
2199,13,31,54,65,Urban,"1,232","$106,182"
2203,13,30,53,66,Urban,0,
2205,13,30,53,65,Urban,0,
2210,12,28,52,65,Urban,"4,830","$160,000"
2215,13,31,54,65,Urban,"25,856","$58,466"
2301,12,32,51,61,Urban,"68,571","$65,275"
2302,11,32,50,61,Urban,"35,645","$75,280"
2322,13,33,51,63,Urban,"4,740","$127,953"
2324,15,30,43,58,Urban,"25,245","$107,932"
2325,13,28,44,57,Urban,"3,082","$22,708"
2330,10,20,34,50,Urban,"11,641","$61,811"
2332,10,22,38,52,Urban,"16,004","$130,260"
2333,11,29,44,57,Urban,"14,403","$110,924"
2338,11,28,39,54,Urban,"7,737","$98,264"
2339,10,26,45,58,Urban,"14,742","$149,048"
2341,11,28,42,56,Urban,"10,419","$113,500"
2343,11,32,50,64,Urban,"11,309","$89,580"
2346,13,26,38,53,Urban,"24,219","$81,809"
2347,14,27,40,53,Urban,"11,514","$112,240"
2350,11,27,39,55,Urban,182,
2351,10,29,48,60,Urban,"16,974","$113,155"
2356,16,34,50,61,Urban,"11,943","$114,682"
2357,14,33,50,61,Urban,"1,582",
2359,11,26,40,55,Urban,"18,329","$130,015"
2360,5,18,32,44,Urban,"60,793","$97,956"
2364,10,22,37,51,Urban,"13,618","$103,945"
2366,6,18,32,45,Urban,194,
2367,6,17,33,45,Suburban,"2,934","$118,098"
2368,13,32,54,64,Urban,"34,696","$87,985"
2370,11,28,47,59,Urban,"17,774","$90,315"
2375,15,33,49,60,Urban,"11,437","$110,549"
2379,14,32,46,59,Urban,"7,622","$111,964"
2382,10,29,47,60,Urban,"15,116","$94,919"
2420,13,34,51,66,Urban,"15,451","$215,303"
2421,14,34,53,66,Urban,"18,784","$191,140"
2445,15,33,55,66,Urban,"21,485","$126,832"
2446,13,32,55,65,Urban,"31,764","$109,845"
2451,13,35,53,70,Urban,"17,965","$109,021"
2452,14,34,53,68,Urban,"16,193","$101,857"
2453,15,35,55,68,Urban,"30,441","$100,167"
2457,14,36,58,69,Urban,"1,848",
2458,16,34,56,66,Urban,"12,428","$131,992"
2459,16,34,56,66,Urban,"19,081","$200,091"
2460,16,35,56,66,Urban,"9,638","$140,000"
2461,15,35,56,66,Urban,"6,899","$181,220"
2462,17,36,56,69,Urban,"1,381","$91,944"
2464,15,36,57,67,Urban,"3,595","$121,071"
2465,16,35,57,68,Urban,"11,574","$167,330"
2466,16,35,56,69,Urban,"9,109","$137,656"
2467,15,34,53,66,Urban,"23,328","$157,054"
2468,17,36,56,67,Urban,"5,305","$250,001"
2472,15,33,55,67,Urban,"35,229","$101,354"
2474,14,34,54,67,Urban,"28,028","$124,375"
2476,13,34,54,67,Urban,"18,017","$127,649"
2478,13,33,54,67,Urban,"27,016","$151,290"
2481,16,35,58,70,Urban,"16,997","$249,375"
2482,13,35,58,69,Urban,"10,520","$202,396"
2492,14,37,55,67,Urban,"20,927","$190,651"
2493,16,35,57,70,Urban,"11,806","$220,815"
2494,15,36,56,67,Urban,"10,881","$153,285"
2532,5,14,28,37,Urban,"12,715","$77,221"
2534,5,13,26,37,Urban,"1,127",
2535,0,2,7,21,Rural,"2,151","$104,135"
2536,3,10,25,32,Urban,"20,261","$74,944"
2537,3,10,21,32,Urban,"7,124","$124,167"
2538,7,17,28,41,Urban,"4,663","$88,152"
2539,1,5,14,27,Urban,"5,084","$73,849"
2540,4,11,25,33,Urban,"8,888","$81,343"
2542,3,11,25,34,Urban,847,"$43,929"
2543,4,11,25,32,Urban,924,"$79,306"
2553,5,14,27,39,Urban,30,
2554,0,0,1,5,Suburban,"13,585","$116,470"
2556,5,13,26,36,Urban,"2,457","$106,167"
2557,2,6,19,28,Urban,"1,762","$67,703"
2558,7,15,28,40,Urban,"1,779","$56,588"
2559,5,14,27,39,Urban,"3,307","$78,883"
2561,4,14,26,35,Urban,"1,025","$81,983"
2562,5,14,26,35,Urban,"3,204","$110,233"
2563,4,10,22,32,Urban,"9,514","$105,302"
2564,0,0,1,4,Suburban,180,"$119,519"
2568,2,8,22,28,Urban,"8,810","$70,197"
2571,7,19,31,42,Urban,"10,738","$72,500"
2575,0,2,8,22,Rural,"2,432","$114,432"
2576,9,21,31,44,Urban,"3,985","$60,764"
2584,0,0,1,4,Suburban,30,
2601,1,4,14,28,Urban,"17,175","$57,844"
2630,1,6,15,30,Urban,"1,953","$122,976"
2631,0,3,8,21,Urban,"10,109","$88,207"
2632,2,6,17,30,Urban,"12,038","$102,733"
2633,0,1,5,15,Urban,"4,649","$95,604"
2635,2,8,19,30,Urban,"2,902","$68,837"
2637,1,5,15,30,Urban,292,
2638,0,4,13,27,Urban,"3,180","$100,063"
2639,0,3,10,21,Urban,"3,439","$46,635"
2641,0,3,13,24,Urban,178,"$175,571"
2642,0,1,5,18,Urban,"5,674","$76,859"
2643,0,1,5,15,Urban,0,
2644,4,11,24,32,Urban,"3,713","$115,078"
2645,0,2,7,18,Urban,"10,845","$82,889"
2646,0,2,6,17,Urban,"1,801","$67,283"
2647,1,5,14,27,Urban,166,
2648,2,7,19,31,Urban,"7,283","$111,754"
2649,3,9,23,32,Urban,"14,996","$83,563"
2650,0,1,5,15,Urban,764,"$80,125"
2652,0,0,2,13,Rural,990,"$83,468"
2653,0,1,5,17,Urban,"6,276","$79,250"
2655,2,6,17,30,Urban,"3,341","$97,070"
2657,0,1,8,21,Suburban,"3,582","$72,904"
2659,0,1,6,15,Urban,"1,141","$61,302"
2660,0,3,10,22,Urban,"6,480","$69,931"
2663,0,0,2,8,Rural,398,
2664,1,4,10,25,Urban,"9,010","$72,179"
2666,0,0,1,11,Rural,585,
2667,0,0,1,10,Rural,"3,907","$90,625"
2668,2,7,17,32,Urban,"2,604","$100,869"
2670,0,4,10,21,Urban,"1,373","$61,875"
2671,0,3,7,20,Urban,870,"$76,719"
2672,1,6,15,29,Urban,153,"$71,250"
2673,1,4,14,26,Urban,"9,351","$65,880"
2675,1,4,14,27,Urban,"7,178","$96,399"
2702,17,27,39,54,Urban,"4,383","$105,515"
2703,16,34,50,66,Urban,"46,126","$81,798"
2713,0,5,14,25,Rural,34,"$71,667"
2715,18,29,44,56,Urban,"3,531","$97,148"
2717,10,27,36,51,Urban,"4,782","$112,308"
2718,17,28,41,55,Urban,"6,867","$89,796"
2719,7,22,28,44,Urban,"15,911","$79,432"
2720,15,27,38,51,Urban,"31,210","$56,843"
2721,16,25,38,51,Urban,"26,981","$47,963"
2723,16,26,36,51,Urban,"16,577","$43,142"
2724,15,25,39,51,Urban,"18,127","$43,511"
2725,15,27,41,53,Urban,"2,490","$118,176"
2726,16,28,41,53,Urban,"15,781","$95,307"
2738,9,21,29,42,Urban,"5,378","$106,354"
2739,8,21,27,41,Urban,"6,478","$101,487"
2740,9,23,32,48,Urban,"45,990","$47,206"
2743,11,26,32,49,Urban,"10,443","$78,471"
2744,8,22,28,45,Urban,"12,614","$48,009"
2745,11,26,33,51,Urban,"24,884","$63,623"
2746,10,25,32,48,Urban,"16,675","$37,565"
2747,10,24,32,48,Urban,"22,872","$90,048"
2748,7,21,29,43,Urban,"11,496","$101,782"
2760,17,36,51,66,Urban,"28,837","$97,884"
2762,17,38,53,69,Urban,"9,760","$96,932"
2763,17,35,49,66,Urban,"1,720","$98,224"
2764,19,29,44,57,Urban,"4,472","$101,226"
2766,18,34,47,61,Urban,"19,270","$109,375"
2767,18,31,45,59,Urban,"15,255","$100,425"
2769,9,27,40,53,Suburban,"12,434","$115,156"
2770,4,17,27,40,Suburban,"5,702","$110,959"
2771,16,33,47,61,Urban,"15,339","$100,041"
2777,16,30,44,56,Urban,"17,020","$101,703"
2779,16,28,42,54,Urban,"6,724","$110,518"
2780,20,29,47,59,Urban,"51,911","$63,524"
2790,12,24,32,48,Urban,"16,237","$85,470"
2791,4,16,25,36,Suburban,361,"$90,543"
2802,15,35,53,72,Urban,501,"$105,694"
2804,1,12,21,47,Suburban,"2,456","$111,014"
