zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size,latitude,longitude
93441,Urban,Los Olivos,California,"1,059",Santa Barbara,"$111,587",1141,0.0339250141230339,13,34.66776,-120.11487
95215,Urban,Stockton,California,"26,898",San Joaquin,"$51,462",1141,0.0339250141230339,13,37.964123,-121.128903
95833,Urban,Sacramento,California,"40,853",Sacramento,"$74,677",1141,0.0339250141230339,13,38.621802,-121.514016
92071,Urban,Santee,California,"59,826",San Diego,"$93,043",1141,0.0339250141230339,13,32.843956,-116.994511
90650,Urban,Norwalk,California,"103,427",Los Angeles,"$83,217",1141,0.0339250141230339,13,33.906763,-118.076549
92868,Urban,Orange,California,"27,233",Orange,"$79,722",1141,0.0339250141230339,13,33.788145,-117.87655
92883,Urban,Corona,California,"35,788",Riverside,"$112,151",1141,0.0339250141230339,13,33.752748,-117.474266
94609,Urban,Oakland,California,"24,623",Alameda,"$99,783",1141,0.0339250141230339,13,37.834776,-122.26328
93710,Urban,Fresno,California,"33,507",Fresno,"$55,175",1141,0.0339250141230339,13,36.822348,-119.760241
91214,Urban,La Crescenta,California,"32,009",Los Angeles,"$116,201",1141,0.0339250141230339,13,34.236302,-118.249185
90404,Urban,Santa Monica,California,"23,460",Los Angeles,"$74,591",1141,0.0339250141230339,13,34.026608,-118.473643
81243,Rural,Powderhorn,Colorado,65,Gunnison,"$68,333",156,0.0046383016680046,2,38.270602,-107.302888
81040,Rural,Gardner,Colorado,201,Huerfano,,156,0.0046383016680046,2,37.787772,-105.18487
