zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size
31034,Urban,Hardwick,Georgia,166,Baldwin,,304,0.009038741712009038,3
30436,Urban,Lyons,Georgia,"11,672",Toombs,"$41,528",304,0.009038741712009038,3
31027,Urban,East Dublin,Georgia,"10,202",Laurens,"$39,573",304,0.009038741712009038,3
96789,Urban,Mililani,Hawaii,"55,249",Honolulu,"$110,840",47,0.0013974370410013974,1
83325,Rural,Eden,Idaho,700,Jerome,"$59,107",97,0.002884072191002884,1
83868,Suburban,Smelterville,Idaho,656,Shoshone,"$41,094",128,0.003805785984003806,1
83661,Urban,Payette,Idaho,"10,321",Payette,"$52,188",54,0.0016055659620016055,1
61473,Rural,Roseville,Illinois,"1,176",Warren,"$48,750",135,0.004013914905004014,2
61415,Rural,Avon,Illinois,"1,789",Fulton,"$55,903",135,0.004013914905004014,2
62862,Suburban,Mill Shoals,Illinois,325,White,"$56,786",783,0.023280706449023282,9
61532,Suburban,Forest City,Illinois,485,Mason,"$48,750",783,0.023280706449023282,9
61042,Suburban,Harmon,Illinois,501,Lee,"$54,167",783,0.023280706449023282,9
61734,Suburban,Delavan,Illinois,"2,647",Tazewell,"$65,655",783,0.023280706449023282,9
61830,Suburban,Cisco,Illinois,495,Piatt,"$63,000",783,0.023280706449023282,9
62441,Suburban,Marshall,Illinois,"6,994",Clark,"$74,435",783,0.023280706449023282,9
62642,Suburban,Greenview,Illinois,"1,276",Menard,"$68,319",783,0.023280706449023282,9
61410,Suburban,Abingdon,Illinois,"3,898",Knox,"$49,732",783,0.023280706449023282,9
62422,Suburban,Cowden,Illinois,994,Shelby,"$48,929",783,0.023280706449023282,9
61008,Urban,Belvidere,Illinois,"34,420",Boone,"$66,594",478,0.014212232034014212,5
60714,Urban,Niles,Illinois,"31,208",Cook,"$70,085",478,0.014212232034014212,5
60074,Urban,Palatine,Illinois,"37,655",Cook,"$70,999",478,0.014212232034014212,5
61764,Urban,Pontiac,Illinois,"13,867",Livingston,"$55,130",478,0.014212232034014212,5
62289,Urban,Summerfield,Illinois,332,St. Clair,"$43,875",478,0.014212232034014212,5
47854,Rural,Hillsdale,Indiana,609,Vermillion,"$98,438",79,0.002348883537002349,1
47104,Suburban,Bethlehem,Indiana,9,Clark,,465,0.013825706895013825,5
47126,Suburban,Henryville,Indiana,"4,234",Clark,"$79,418",465,0.013825706895013825,5
47458,Suburban,Smithville,Indiana,48,Monroe,,465,0.013825706895013825,5
47145,Suburban,Milltown,Indiana,"2,086",Crawford,"$47,950",465,0.013825706895013825,5
46366,Suburban,North Judson,Indiana,"5,955",Starke,"$50,372",465,0.013825706895013825,5
46324,Urban,Hammond,Indiana,"21,894",Lake,"$51,730",263,0.00781970088900782,3
46038,Urban,Fishers,Indiana,"43,067",Hamilton,"$98,522",263,0.00781970088900782,3
46814,Urban,Fort Wayne,Indiana,"16,180",Allen,"$121,678",263,0.00781970088900782,3
50535,Rural,Early,Iowa,"1,135",Sac,"$68,333",388,0.011536288764011537,4
50860,Rural,Redding,Iowa,119,Ringgold,"$45,972",388,0.011536288764011537,4
50597,Rural,West Bend,Iowa,"1,229",Palo Alto,"$77,566",388,0.011536288764011537,4
50430,Rural,Corwith,Iowa,371,Hancock,"$52,321",388,0.011536288764011537,4
51002,Suburban,Alta,Iowa,"2,799",Buena Vista,"$60,568",465,0.013825706895013825,5
51031,Suburban,Le Mars,Iowa,"12,418",Plymouth,"$70,727",465,0.013825706895013825,5
52071,Suburban,Saint Donatus,Iowa,116,Jackson,"$36,838",465,0.013825706895013825,5
51056,Suburban,Smithland,Iowa,349,Woodbury,"$63,857",465,0.013825706895013825,5
50162,Suburban,Melbourne,Iowa,"1,339",Marshall,"$60,833",465,0.013825706895013825,5
52228,Urban,Fairfax,Iowa,"3,637",Linn,"$110,240",117,0.0034787262510034785,1
67334,Rural,Chautauqua,Kansas,79,Chautauqua,,293,0.008711681979008712,3
67839,Rural,Dighton,Kansas,"1,020",Lane,"$42,917",293,0.008711681979008712,3
67491,Rural,Windom,Kansas,286,McPherson,"$53,056",293,0.008711681979008712,3
66026,Suburban,Fontana,Kansas,850,Miami,"$63,558",270,0.008027829810008028,3
67470,Suburban,New Cambria,Kansas,486,Saline,"$71,250",270,0.008027829810008028,3
66429,Suburban,Grantville,Kansas,484,Jefferson,"$67,054",270,0.008027829810008028,3
66606,Urban,Topeka,Kansas,"9,647",Shawnee,"$51,463",140,0.004162578420004163,2
66506,Urban,Manhattan,Kansas,"3,307",Riley,,140,0.004162578420004163,2
41810,Rural,Cromona,Kentucky,362,Letcher,,180,0.005351886540005352,2
41775,Rural,Wendover,Kentucky,76,Leslie,,180,0.005351886540005352,2
42153,Suburban,Holland,Kentucky,66,Allen,"$19,063",462,0.013736508786013736,5
40468,Suburban,Perryville,Kentucky,"2,138",Boyle,"$59,907",462,0.013736508786013736,5
41146,Suburban,Hitchins,Kentucky,522,Carter,"$32,750",462,0.013736508786013736,5
40334,Suburban,Hope,Kentucky,15,Bath,,462,0.013736508786013736,5
42127,Suburban,Cave City,Kentucky,"6,960",Barren,"$37,787",462,0.013736508786013736,5
41005,Urban,Burlington,Kentucky,"25,048",Boone,"$91,979",137,0.004073380311004074,2
40031,Urban,La Grange,Kentucky,"25,163",Oldham,"$83,248",137,0.004073380311004074,2
70775,Suburban,Saint Francisville,Louisiana,"10,754",West Feliciana,"$65,674",292,0.008681949276008682,3
71446,Suburban,Leesville,Louisiana,"21,469",Vernon,"$53,012",292,0.008681949276008682,3
71441,Suburban,Kelly,Louisiana,795,Caldwell,,292,0.008681949276008682,3
71201,Urban,Monroe,Louisiana,"21,490",Ouachita,"$51,550",207,0.006154669521006155,2
70814,Urban,Baton Rouge,Louisiana,"11,582",East Baton Rouge,"$47,116",207,0.006154669521006155,2
4424,Rural,Danforth,Maine,872,Washington,"$40,098",188,0.00558974816400559,2
4555,Rural,Nobleboro,Maine,"1,541",Lincoln,"$79,716",188,0.00558974816400559,2
4265,Suburban,North Monmouth,Maine,790,Kennebec,"$59,286",182,0.005411351946005411,2
4422,Suburban,Charleston,Maine,"1,176",Penobscot,"$63,333",182,0.005411351946005411,2
4444,Urban,Hampden,Maine,"9,189",Penobscot,"$92,512",56,0.001665031368001665,1
21912,Suburban,Warwick,Maryland,"1,393",Cecil,"$71,995",232,0.006897987096006898,3
21084,Suburban,Jarrettsville,Maryland,"7,254",Harford,"$101,918",232,0.006897987096006898,3
21762,Suburban,Libertytown,Maryland,184,Frederick,,232,0.006897987096006898,3
21233,Urban,Baltimore,Maryland,0,Baltimore,,219,0.006511461957006512,2
20748,Urban,Temple Hills,Maryland,"40,644",Prince George's,"$73,194",219,0.006511461957006512,2
1373,Suburban,South Deerfield,Massachusetts,"5,076",Franklin,"$83,826",89,0.002646210567002646,1
2062,Urban,Norwood,Massachusetts,"31,256",Norfolk,"$96,414",428,0.012725596884012726,5
1985,Urban,West Newbury,Massachusetts,"4,500",Essex,"$164,250",428,0.012725596884012726,5
1852,Urban,Lowell,Massachusetts,"36,740",Middlesex,"$68,256",428,0.012725596884012726,5
2170,Urban,Quincy,Massachusetts,"20,130",Norfolk,"$92,052",428,0.012725596884012726,5
