zip,ruca,city,state_name,population,county,median_household_income,stratum_size,sample_proportion,stratum_sample_size
57563,Rural,Okreek,South Dakota,161,Todd,"$21,042",233,0.006927719799006928,3
57747,Suburban,Hot Springs,South Dakota,"5,563",Fall River,"$53,477",114,0.0033895281420033897,1
38317,Rural,Bruceton,Tennessee,"2,560",Carroll,"$39,205",54,0.0016055659620016055,1
37848,Suburban,Powder Springs,Tennessee,79,Grainger,,382,0.011357892546011357,4
38588,Suburban,Whitleyville,Tennessee,"1,093",Jackson,"$39,432",382,0.011357892546011357,4
37370,Suburban,Riceville,Tennessee,"5,551",McMinn,"$55,874",382,0.011357892546011357,4
37885,Suburban,Vonore,Tennessee,"5,958",Monroe,"$70,859",382,0.011357892546011357,4
37341,Urban,Harrison,Tennessee,"13,116",Hamilton,"$80,025",200,0.005946540600005946,2
37215,Urban,Nashville,Tennessee,"22,829",Davidson,"$133,532",200,0.005946540600005946,2
76841,Rural,Fort McKavett,Texas,175,Schleicher,,250,0.007433175750007433,3
79855,Rural,Van Horn,Texas,"2,134",Culberson,"$33,315",250,0.007433175750007433,3
79538,Rural,Novice,Texas,181,Coleman,,250,0.007433175750007433,3
75860,Suburban,Teague,Texas,"6,248",Freestone,"$54,958",910,0.027056759730027056,10
79731,Suburban,Crane,Texas,"4,473",Crane,"$68,057",910,0.027056759730027056,10
75565,Suburban,McLeod,Texas,207,Cass,"$16,574",910,0.027056759730027056,10
76250,Suburban,Lindsay,Texas,"1,026",Cooke,"$91,458",910,0.027056759730027056,10
78343,Suburban,Bishop,Texas,"4,594",Nueces,"$54,615",910,0.027056759730027056,10
79347,Suburban,Muleshoe,Texas,"6,933",Bailey,"$64,945",910,0.027056759730027056,10
77514,Suburban,Anahuac,Texas,"5,818",Chambers,"$56,780",910,0.027056759730027056,10
76050,Suburban,Grandview,Texas,"6,760",Johnson,"$72,004",910,0.027056759730027056,10
79735,Suburban,Fort Stockton,Texas,"13,267",Pecos,"$54,051",910,0.027056759730027056,10
75949,Suburban,Huntington,Texas,"8,469",Angelina,"$43,954",910,0.027056759730027056,10
77082,Urban,Houston,Texas,"52,827",Harris,"$54,686",829,0.02464841078702465,9
77534,Urban,Danbury,Texas,"3,125",Brazoria,"$103,261",829,0.02464841078702465,9
79907,Urban,El Paso,Texas,"50,696",El Paso,"$36,438",829,0.02464841078702465,9
78255,Urban,San Antonio,Texas,"17,545",Bexar,"$134,941",829,0.02464841078702465,9
78742,Urban,Austin,Texas,"1,099",Travis,"$63,750",829,0.02464841078702465,9
75023,Urban,Plano,Texas,"48,586",Collin,"$91,883",829,0.02464841078702465,9
79707,Urban,Midland,Texas,"36,167",Midland,"$96,146",829,0.02464841078702465,9
78577,Urban,Pharr,Texas,"79,128",Hidalgo,"$39,490",829,0.02464841078702465,9
78705,Urban,Austin,Texas,"32,506",Travis,"$23,750",829,0.02464841078702465,9
84759,Rural,Panguitch,Utah,"2,273",Garfield,"$58,667",69,0.0020515565070020514,1
84762,Suburban,Duck Creek Village,Utah,102,Kane,,108,0.003211131924003211,1
84526,Urban,Helper,Utah,"4,228",Carbon,"$59,134",121,0.0035976570630035978,1
5363,Rural,Wilmington,Vermont,"1,994",Windham,"$62,692",139,0.004132845717004133,2
5346,Rural,Putney,Vermont,"5,283",Windham,"$64,745",139,0.004132845717004133,2
5821,Suburban,Barnet,Vermont,965,Caledonia,"$62,917",101,0.003003003003003003,1
23829,Rural,Capron,Virginia,"2,287",Southampton,"$93,750",143,0.0042517765290042515,2
24377,Rural,Tannersville,Virginia,544,Tazewell,"$49,145",143,0.0042517765290042515,2
24070,Suburban,Catawba,Virginia,"1,666",Roanoke,"$96,136",479,0.014241964737014242,5
23970,Suburban,South Hill,Virginia,"7,936",Mecklenburg,"$40,319",479,0.014241964737014242,5
22534,Suburban,Partlow,Virginia,"3,358",Spotsylvania,"$87,000",479,0.014241964737014242,5
24333,Suburban,Galax,Virginia,"18,402",Grayson,"$47,364",479,0.014241964737014242,5
24531,Suburban,Chatham,Virginia,"9,259",Pittsylvania,"$50,996",479,0.014241964737014242,5
22802,Urban,Harrisonburg,Virginia,"30,149",Rockingham,"$53,438",281,0.008354889543008354,3
24201,Urban,Bristol,Virginia,"15,863",Bristol,"$42,669",281,0.008354889543008354,3
22191,Urban,Woodbridge,Virginia,"72,613",Prince William,"$92,432",281,0.008354889543008354,3
99149,Rural,Malden,Washington,197,Whitman,"$40,455",120,0.003567924360003568,1
98331,Suburban,Forks,Washington,"5,951",Jefferson,"$43,711",211,0.0062736003330062734,2
99141,Suburban,Kettle Falls,Washington,"5,902",Ferry,"$53,716",211,0.0062736003330062734,2
98109,Urban,Seattle,Washington,"29,376",King,"$111,059",274,0.008146760622008148,3
98272,Urban,Monroe,Washington,"31,517",Snohomish,"$101,637",274,0.008146760622008148,3
98537,Urban,Cosmopolis,Washington,"2,688",Grays Harbor,"$68,571",274,0.008146760622008148,3
25984,Rural,Rupert,West Virginia,"1,780",Greenbrier,"$24,848",96,0.0028543394880028543,1
26238,Suburban,Volga,West Virginia,"1,055",Barbour,"$40,833",496,0.014747420688014748,6
25644,Suburban,Sarah Ann,West Virginia,544,Logan,,496,0.014747420688014748,6
26410,Suburban,Newburg,West Virginia,796,Preston,"$57,368",496,0.014747420688014748,6
26151,Suburban,Mount Zion,West Virginia,744,Calhoun,"$25,568",496,0.014747420688014748,6
26560,Suburban,Baxter,West Virginia,150,Marion,,496,0.014747420688014748,6
25611,Suburban,Bruno,West Virginia,"1,032",Logan,"$24,467",496,0.014747420688014748,6
26030,Urban,Beech Bottom,West Virginia,591,Brooke,"$34,531",146,0.004340974638004341,2
25702,Urban,Huntington,West Virginia,"7,586",Cabell,"$26,860",146,0.004340974638004341,2
53934,Rural,Friendship,Wisconsin,"4,303",Adams,"$41,414",225,0.00668985817500669,3
54746,Rural,Humbird,Wisconsin,686,Clark,"$55,481",225,0.00668985817500669,3
54436,Rural,Granton,Wisconsin,"2,185",Clark,"$56,563",225,0.00668985817500669,3
54626,Suburban,Eastman,Wisconsin,"1,457",Crawford,"$54,570",360,0.010703773080010704,4
54772,Suburban,Wheeler,Wisconsin,"1,044",Dunn,"$64,028",360,0.010703773080010704,4
53559,Suburban,Marshall,Wisconsin,"6,382",Dane,"$85,012",360,0.010703773080010704,4
53955,Suburban,Poynette,Wisconsin,"5,662",Columbia,"$84,151",360,0.010703773080010704,4
54603,Urban,La Crosse,Wisconsin,"14,198",La Crosse,"$48,580",198,0.005887075194005887,2
53127,Urban,Genesee Depot,Wisconsin,108,Waukesha,"$132,950",198,0.005887075194005887,2
82932,Rural,Farson,Wyoming,705,Sweetwater,"$63,520",88,0.0026164778640026163,1
82327,Suburban,Hanna,Wyoming,794,Carbon,"$51,196",62,0.0018434275860018435,1
