origin,destination,distance_in_time
"61.52704,-144.29413","61.209899,-149.743371",4 hour 30 mins
"55.208706,-132.825903","60.563956,-151.226299",1 day 19 hour 0 mins
"55.208706,-132.825903","61.209899,-149.743371",1 day 16 hour 8 mins
"31.5687,-111.05231","32.426144,-110.939906",1 hour 13 mins
"31.5687,-111.05231","32.668615,-114.493093",3 hour 54 mins
"31.5687,-111.05231","33.510159,-112.267029",2 hour 33 mins
"31.5687,-111.05231","33.610797,-112.336937",2 hour 48 mins
"31.5687,-111.05231","33.507627,-111.889899",2 hour 22 mins
"31.5687,-111.05231","33.564926,-112.169988",2 hour 35 mins
"31.5687,-111.05231","33.176457,-111.584536",2 hour 10 mins
"31.5687,-111.05231","33.471025,-112.222837",2 hour 29 mins
"31.5687,-111.05231","33.319542,-111.688858",2 hour 21 mins
"31.5687,-111.05231","33.67996,-112.276668",2 hour 46 mins
"31.5687,-111.05231","32.192946,-110.842481",58 mins
"33.13428,-110.12004","32.426144,-110.939906",2 hour 11 mins
"33.13428,-110.12004","32.668615,-114.493093",4 hour 42 mins
"33.13428,-110.12004","33.510159,-112.267029",2 hour 27 mins
"33.13428,-110.12004","33.610797,-112.336937",2 hour 43 mins
"33.13428,-110.12004","33.507627,-111.889899",2 hour 10 mins
"33.13428,-110.12004","33.564926,-112.169988",2 hour 30 mins
"33.13428,-110.12004","33.176457,-111.584536",1 hour 57 mins
"33.13428,-110.12004","33.471025,-112.222837",2 hour 24 mins
"33.13428,-110.12004","33.319542,-111.688858",1 hour 57 mins
"33.13428,-110.12004","33.67996,-112.276668",2 hour 41 mins
"33.13428,-110.12004","32.192946,-110.842481",2 hour 30 mins
"33.99208,-114.40456","32.426144,-110.939906",4 hour 15 mins
"33.99208,-114.40456","32.668615,-114.493093",2 hour 2 mins
"33.99208,-114.40456","33.510159,-112.267029",2 hour 29 mins
"33.99208,-114.40456","33.610797,-112.336937",2 hour 37 mins
"33.99208,-114.40456","33.507627,-111.889899",2 hour 53 mins
"33.99208,-114.40456","33.564926,-112.169988",2 hour 42 mins
"33.99208,-114.40456","33.176457,-111.584536",3 hour 27 mins
