origin,destination,distance_in_time
"34.936697,-84.268863","32.882193,-83.760123",2 hour 54 mins
"34.936697,-84.268863","33.442658,-84.324896",2 hour 17 mins
"34.936697,-84.268863","33.586381,-84.470555",1 hour 58 mins
"34.936697,-84.268863","34.863186,-83.99874",24 mins
"34.936697,-84.268863","33.94358,-83.444474",2 hour 25 mins
"34.936697,-84.268863","32.434143,-81.759606",4 hour 53 mins
"34.936697,-84.268863","33.589373,-84.339734",2 hour 1 mins
"34.936697,-84.268863","34.859802,-83.404616",1 hour 25 mins
"34.936697,-84.268863","31.613019,-84.174321",4 hour 31 mins
"33.080724,-81.986767","32.468857,-84.910121",3 hour 39 mins
"33.080724,-81.986767","31.964051,-83.760952",2 hour 51 mins
"33.080724,-81.986767","31.220181,-82.346077",2 hour 35 mins
"33.080724,-81.986767","33.635704,-84.293419",2 hour 39 mins
"33.080724,-81.986767","32.882193,-83.760123",2 hour 20 mins
"33.080724,-81.986767","33.442658,-84.324896",3 hour 0 mins
"33.080724,-81.986767","33.586381,-84.470555",2 hour 48 mins
"33.080724,-81.986767","34.863186,-83.99874",4 hour 8 mins
"33.080724,-81.986767","33.94358,-83.444474",2 hour 20 mins
"33.080724,-81.986767","32.434143,-81.759606",54 mins
"33.080724,-81.986767","33.589373,-84.339734",2 hour 45 mins
"33.080724,-81.986767","34.859802,-83.404616",3 hour 22 mins
"33.080724,-81.986767","31.613019,-84.174321",3 hour 32 mins
"32.91107,-84.615478","32.468857,-84.910121",50 mins
"32.91107,-84.615478","31.964051,-83.760952",1 hour 58 mins
"32.91107,-84.615478","31.220181,-82.346077",3 hour 48 mins
"32.91107,-84.615478","33.635704,-84.293419",1 hour 24 mins
"32.91107,-84.615478","32.882193,-83.760123",1 hour 19 mins
"32.91107,-84.615478","33.442658,-84.324896",1 hour 3 mins
"32.91107,-84.615478","33.586381,-84.470555",1 hour 9 mins
"32.91107,-84.615478","34.863186,-83.99874",3 hour 7 mins
"32.91107,-84.615478","33.94358,-83.444474",2 hour 32 mins
"32.91107,-84.615478","32.434143,-81.759606",3 hour 19 mins
"32.91107,-84.615478","33.589373,-84.339734",1 hour 18 mins
"32.91107,-84.615478","34.859802,-83.404616",3 hour 1 mins
"32.91107,-84.615478","31.613019,-84.174321",2 hour 1 mins
"31.785934,-81.57385","32.468857,-84.910121",4 hour 24 mins
"31.785934,-81.57385","31.964051,-83.760952",2 hour 55 mins
"31.785934,-81.57385","31.220181,-82.346077",1 hour 22 mins
"31.785934,-81.57385","33.635704,-84.293419",3 hour 52 mins
"31.785934,-81.57385","32.882193,-83.760123",3 hour 7 mins
"31.785934,-81.57385","33.442658,-84.324896",3 hour 52 mins
"31.785934,-81.57385","33.586381,-84.470555",4 hour 5 mins
"31.785934,-81.57385","34.863186,-83.99874",5 hour 52 mins
"31.785934,-81.57385","33.94358,-83.444474",4 hour 21 mins
"31.785934,-81.57385","32.434143,-81.759606",1 hour 22 mins
"31.785934,-81.57385","33.589373,-84.339734",3 hour 51 mins
"31.785934,-81.57385","34.859802,-83.404616",5 hour 27 mins
"31.785934,-81.57385","31.613019,-84.174321",3 hour 31 mins
"31.158299,-81.954478","32.468857,-84.910121",3 hour 59 mins
"31.158299,-81.954478","31.964051,-83.760952",2 hour 27 mins
"31.158299,-81.954478","31.220181,-82.346077",34 mins
"31.158299,-81.954478","33.635704,-84.293419",4 hour 10 mins
"31.158299,-81.954478","32.882193,-83.760123",3 hour 22 mins
"31.158299,-81.954478","33.442658,-84.324896",4 hour 10 mins
"31.158299,-81.954478","33.586381,-84.470555",4 hour 22 mins
"31.158299,-81.954478","34.863186,-83.99874",6 hour 10 mins
"31.158299,-81.954478","33.94358,-83.444474",4 hour 44 mins
"31.158299,-81.954478","32.434143,-81.759606",2 hour 3 mins
"31.158299,-81.954478","33.589373,-84.339734",4 hour 9 mins
"31.158299,-81.954478","34.859802,-83.404616",5 hour 51 mins
"31.158299,-81.954478","31.613019,-84.174321",2 hour 39 mins
"33.022658,-83.246975","32.468857,-84.910121",2 hour 15 mins
"33.022658,-83.246975","31.964051,-83.760952",1 hour 35 mins
"33.022658,-83.246975","31.220181,-82.346077",2 hour 47 mins
"33.022658,-83.246975","33.635704,-84.293419",1 hour 41 mins
"33.022658,-83.246975","32.882193,-83.760123",56 mins
"33.022658,-83.246975","33.442658,-84.324896",1 hour 41 mins
"33.022658,-83.246975","33.586381,-84.470555",1 hour 53 mins
"33.022658,-83.246975","34.863186,-83.99874",3 hour 31 mins
"33.022658,-83.246975","33.94358,-83.444474",1 hour 36 mins
"33.022658,-83.246975","32.434143,-81.759606",2 hour 4 mins
"33.022658,-83.246975","33.589373,-84.339734",1 hour 40 mins
"33.022658,-83.246975","34.859802,-83.404616",2 hour 53 mins
"33.022658,-83.246975","31.613019,-84.174321",2 hour 17 mins
"32.129147,-82.330546","32.468857,-84.910121",3 hour 15 mins
"32.129147,-82.330546","31.964051,-83.760952",1 hour 57 mins
"32.129147,-82.330546","31.220181,-82.346077",1 hour 22 mins
"32.129147,-82.330546","33.635704,-84.293419",2 hour 43 mins
"32.129147,-82.330546","32.882193,-83.760123",1 hour 58 mins
"32.129147,-82.330546","33.442658,-84.324896",2 hour 43 mins
"32.129147,-82.330546","33.586381,-84.470555",2 hour 56 mins
"32.129147,-82.330546","34.863186,-83.99874",4 hour 44 mins
"32.129147,-82.330546","33.94358,-83.444474",3 hour 12 mins
"32.129147,-82.330546","32.434143,-81.759606",1 hour 4 mins
"32.129147,-82.330546","33.589373,-84.339734",2 hour 42 mins
"32.129147,-82.330546","34.859802,-83.404616",4 hour 18 mins
"32.129147,-82.330546","31.613019,-84.174321",2 hour 37 mins
"32.552377,-82.781684","32.468857,-84.910121",2 hour 39 mins
"32.552377,-82.781684","31.964051,-83.760952",1 hour 41 mins
"32.552377,-82.781684","31.220181,-82.346077",2 hour 9 mins
"32.552377,-82.781684","33.635704,-84.293419",2 hour 7 mins
"32.552377,-82.781684","32.882193,-83.760123",1 hour 22 mins
"32.552377,-82.781684","33.442658,-84.324896",2 hour 7 mins
"32.552377,-82.781684","33.586381,-84.470555",2 hour 20 mins
"32.552377,-82.781684","34.863186,-83.99874",4 hour 8 mins
"32.552377,-82.781684","33.94358,-83.444474",2 hour 30 mins
"32.552377,-82.781684","32.434143,-81.759606",1 hour 17 mins
"32.552377,-82.781684","33.589373,-84.339734",2 hour 6 mins
"32.552377,-82.781684","34.859802,-83.404616",3 hour 47 mins
"32.552377,-82.781684","31.613019,-84.174321",2 hour 22 mins
"42.586804,-114.246706","42.909839,-112.46357",1 hour 27 mins
"42.586804,-114.246706","43.603483,-116.511064",2 hour 8 mins
"47.536163,-116.206234","42.909839,-112.46357",7 hour 8 mins
"47.536163,-116.206234","43.603483,-116.511064",7 hour 16 mins
"44.063604,-116.750704","42.909839,-112.46357",4 hour 10 mins
"44.063604,-116.750704","43.603483,-116.511064",50 mins
"40.747768,-90.654131","42.170468,-88.335097",3 hour 20 mins
"40.747768,-90.654131","38.719408,-89.913032",3 hour 7 mins
"40.747768,-90.654131","nan,nan",N/A
"40.747768,-90.654131","40.460974,-90.642001",26 mins
"40.747768,-90.654131","41.904638,-87.90864",3 hour 16 mins
"40.747768,-90.654131","41.522057,-88.141464",2 hour 52 mins
"40.747768,-90.654131","40.147191,-88.254698",2 hour 24 mins
"40.747768,-90.654131","39.140831,-88.562339",3 hour 28 mins
"40.747768,-90.654131","38.759229,-89.68598",3 hour 18 mins
"40.747768,-90.654131","42.015216,-88.148067",3 hour 24 mins
"40.747768,-90.654131","41.190429,-87.847122",3 hour 11 mins
"40.747768,-90.654131","42.151552,-88.428894",3 hour 9 mins
"40.747768,-90.654131","42.068444,-87.921486",3 hour 32 mins
"40.608139,-90.362984","42.170468,-88.335097",3 hour 32 mins
"40.608139,-90.362984","38.719408,-89.913032",2 hour 59 mins
"40.608139,-90.362984","nan,nan",N/A
"40.608139,-90.362984","40.460974,-90.642001",37 mins
"40.608139,-90.362984","41.904638,-87.90864",3 hour 22 mins
"40.608139,-90.362984","41.522057,-88.141464",2 hour 50 mins
"40.608139,-90.362984","40.147191,-88.254698",2 hour 18 mins
"40.608139,-90.362984","39.140831,-88.562339",3 hour 21 mins
"40.608139,-90.362984","38.759229,-89.68598",3 hour 7 mins
"40.608139,-90.362984","42.015216,-88.148067",3 hour 31 mins
"40.608139,-90.362984","41.190429,-87.847122",3 hour 4 mins
"40.608139,-90.362984","42.151552,-88.428894",3 hour 21 mins
"40.608139,-90.362984","42.068444,-87.921486",3 hour 38 mins
"38.24866,-88.34671","42.170468,-88.335097",5 hour 0 mins
"38.24866,-88.34671","38.719408,-89.913032",1 hour 36 mins
"38.24866,-88.34671","nan,nan",N/A
"38.24866,-88.34671","40.460974,-90.642001",4 hour 11 mins
"38.24866,-88.34671","41.904638,-87.90864",4 hour 24 mins
"38.24866,-88.34671","41.522057,-88.141464",4 hour 10 mins
"38.24866,-88.34671","40.147191,-88.254698",2 hour 23 mins
"38.24866,-88.34671","39.140831,-88.562339",1 hour 26 mins
"38.24866,-88.34671","38.759229,-89.68598",1 hour 39 mins
"38.24866,-88.34671","42.015216,-88.148067",4 hour 41 mins
"38.24866,-88.34671","41.190429,-87.847122",3 hour 29 mins
"38.24866,-88.34671","42.151552,-88.428894",4 hour 59 mins
"38.24866,-88.34671","42.068444,-87.921486",4 hour 39 mins
"40.305929,-89.8716","42.170468,-88.335097",3 hour 18 mins
"40.305929,-89.8716","38.719408,-89.913032",2 hour 4 mins
"40.305929,-89.8716","nan,nan",N/A
"40.305929,-89.8716","40.460974,-90.642001",58 mins
"40.305929,-89.8716","41.904638,-87.90864",2 hour 50 mins
"40.305929,-89.8716","41.522057,-88.141464",2 hour 18 mins
"40.305929,-89.8716","40.147191,-88.254698",1 hour 33 mins
"40.305929,-89.8716","39.140831,-88.562339",2 hour 31 mins
"40.305929,-89.8716","38.759229,-89.68598",2 hour 11 mins
"40.305929,-89.8716","42.015216,-88.148067",2 hour 59 mins
"40.305929,-89.8716","41.190429,-87.847122",2 hour 33 mins
"40.305929,-89.8716","42.151552,-88.428894",3 hour 13 mins
"40.305929,-89.8716","42.068444,-87.921486",3 hour 6 mins
"41.689533,-89.545604","42.170468,-88.335097",1 hour 44 mins
"41.689533,-89.545604","38.719408,-89.913032",3 hour 37 mins
"41.689533,-89.545604","nan,nan",N/A
"41.689533,-89.545604","40.460974,-90.642001",2 hour 20 mins
"41.689533,-89.545604","41.904638,-87.90864",1 hour 41 mins
"41.689533,-89.545604","41.522057,-88.141464",1 hour 39 mins
"41.689533,-89.545604","40.147191,-88.254698",2 hour 29 mins
"41.689533,-89.545604","39.140831,-88.562339",3 hour 33 mins
"41.689533,-89.545604","38.759229,-89.68598",3 hour 44 mins
"41.689533,-89.545604","42.015216,-88.148067",1 hour 48 mins
"41.689533,-89.545604","41.190429,-87.847122",2 hour 14 mins
"41.689533,-89.545604","42.151552,-88.428894",1 hour 33 mins
"41.689533,-89.545604","42.068444,-87.921486",1 hour 56 mins
"40.424081,-89.600252","42.170468,-88.335097",3 hour 4 mins
"40.424081,-89.600252","38.719408,-89.913032",1 hour 59 mins
"40.424081,-89.600252","nan,nan",N/A
"40.424081,-89.600252","40.460974,-90.642001",1 hour 20 mins
"40.424081,-89.600252","41.904638,-87.90864",2 hour 36 mins
"40.424081,-89.600252","41.522057,-88.141464",2 hour 4 mins
"40.424081,-89.600252","40.147191,-88.254698",1 hour 23 mins
"40.424081,-89.600252","39.140831,-88.562339",2 hour 25 mins
"40.424081,-89.600252","38.759229,-89.68598",2 hour 7 mins
"40.424081,-89.600252","42.015216,-88.148067",2 hour 45 mins
"40.424081,-89.600252","41.190429,-87.847122",2 hour 18 mins
"40.424081,-89.600252","42.151552,-88.428894",2 hour 59 mins
"40.424081,-89.600252","42.068444,-87.921486",2 hour 52 mins
"40.028868,-88.69568","42.170468,-88.335097",3 hour 9 mins
"40.028868,-88.69568","38.719408,-89.913032",2 hour 1 mins
"40.028868,-88.69568","nan,nan",N/A
"40.028868,-88.69568","40.460974,-90.642001",2 hour 25 mins
"40.028868,-88.69568","41.904638,-87.90864",2 hour 33 mins
"40.028868,-88.69568","41.522057,-88.141464",2 hour 10 mins
"40.028868,-88.69568","40.147191,-88.254698",32 mins
"40.028868,-88.69568","39.140831,-88.562339",1 hour 25 mins
"40.028868,-88.69568","38.759229,-89.68598",2 hour 9 mins
"40.028868,-88.69568","42.015216,-88.148067",2 hour 50 mins
"40.028868,-88.69568","41.190429,-87.847122",1 hour 38 mins
"40.028868,-88.69568","42.151552,-88.428894",3 hour 7 mins
"40.028868,-88.69568","42.068444,-87.921486",2 hour 48 mins
"39.39143,-87.69364","42.170468,-88.335097",4 hour 5 mins
"39.39143,-87.69364","38.719408,-89.913032",2 hour 4 mins
"39.39143,-87.69364","nan,nan",N/A
"39.39143,-87.69364","40.460974,-90.642001",3 hour 52 mins
"39.39143,-87.69364","41.904638,-87.90864",3 hour 30 mins
"39.39143,-87.69364","41.522057,-88.141464",3 hour 15 mins
"39.39143,-87.69364","40.147191,-88.254698",1 hour 28 mins
"39.39143,-87.69364","39.140831,-88.562339",55 mins
"39.39143,-87.69364","38.759229,-89.68598",1 hour 57 mins
"39.39143,-87.69364","42.015216,-88.148067",3 hour 47 mins
"39.39143,-87.69364","41.190429,-87.847122",2 hour 35 mins
"39.39143,-87.69364","42.151552,-88.428894",4 hour 4 mins
"39.39143,-87.69364","42.068444,-87.921486",3 hour 45 mins
"40.101722,-89.746851","42.170468,-88.335097",3 hour 21 mins
"40.101722,-89.746851","38.719408,-89.913032",1 hour 42 mins
"40.101722,-89.746851","nan,nan",N/A
"40.101722,-89.746851","40.460974,-90.642001",1 hour 17 mins
"40.101722,-89.746851","41.904638,-87.90864",2 hour 54 mins
"40.101722,-89.746851","41.522057,-88.141464",2 hour 22 mins
"40.101722,-89.746851","40.147191,-88.254698",1 hour 37 mins
"40.101722,-89.746851","39.140831,-88.562339",2 hour 9 mins
"40.101722,-89.746851","38.759229,-89.68598",1 hour 49 mins
"40.101722,-89.746851","42.015216,-88.148067",3 hour 3 mins
"40.101722,-89.746851","41.190429,-87.847122",2 hour 36 mins
"40.101722,-89.746851","42.151552,-88.428894",3 hour 16 mins
"40.101722,-89.746851","42.068444,-87.921486",3 hour 9 mins
"40.80448,-90.4018","42.170468,-88.335097",3 hour 5 mins
"40.80448,-90.4018","38.719408,-89.913032",3 hour 3 mins
"40.80448,-90.4018","nan,nan",N/A
"40.80448,-90.4018","40.460974,-90.642001",42 mins
"40.80448,-90.4018","41.904638,-87.90864",3 hour 1 mins
"40.80448,-90.4018","41.522057,-88.141464",2 hour 37 mins
"40.80448,-90.4018","40.147191,-88.254698",2 hour 13 mins
"40.80448,-90.4018","39.140831,-88.562339",3 hour 16 mins
"40.80448,-90.4018","38.759229,-89.68598",3 hour 10 mins
"40.80448,-90.4018","42.015216,-88.148067",3 hour 9 mins
"40.80448,-90.4018","41.190429,-87.847122",2 hour 59 mins
"40.80448,-90.4018","42.151552,-88.428894",2 hour 54 mins
"40.80448,-90.4018","42.068444,-87.921486",3 hour 17 mins
"39.250015,-88.862961","42.170468,-88.335097",4 hour 10 mins
"39.250015,-88.862961","38.719408,-89.913032",1 hour 20 mins
"39.250015,-88.862961","nan,nan",N/A
"39.250015,-88.862961","40.460974,-90.642001",2 hour 57 mins
"39.250015,-88.862961","41.904638,-87.90864",3 hour 31 mins
"39.250015,-88.862961","41.522057,-88.141464",3 hour 10 mins
"39.250015,-88.862961","40.147191,-88.254698",1 hour 29 mins
"39.250015,-88.862961","39.140831,-88.562339",23 mins
"39.250015,-88.862961","38.759229,-89.68598",1 hour 12 mins
"39.250015,-88.862961","42.015216,-88.148067",3 hour 51 mins
"39.250015,-88.862961","41.190429,-87.847122",2 hour 36 mins
"39.250015,-88.862961","42.151552,-88.428894",4 hour 4 mins
"39.250015,-88.862961","42.068444,-87.921486",3 hour 46 mins
"42.276381,-88.823215","42.170468,-88.335097",41 mins
"42.276381,-88.823215","38.719408,-89.913032",4 hour 7 mins
"42.276381,-88.823215","nan,nan",N/A
"42.276381,-88.823215","40.460974,-90.642001",3 hour 14 mins
"42.276381,-88.823215","41.904638,-87.90864",59 mins
"42.276381,-88.823215","41.522057,-88.141464",1 hour 28 mins
"42.276381,-88.823215","40.147191,-88.254698",2 hour 49 mins
"42.276381,-88.823215","39.140831,-88.562339",3 hour 53 mins
"42.276381,-88.823215","38.759229,-89.68598",4 hour 14 mins
"42.276381,-88.823215","42.015216,-88.148067",46 mins
"42.276381,-88.823215","41.190429,-87.847122",1 hour 53 mins
"42.276381,-88.823215","42.151552,-88.428894",30 mins
"42.276381,-88.823215","42.068444,-87.921486",58 mins
"42.031179,-87.811163","42.170468,-88.335097",46 mins
"42.031179,-87.811163","38.719408,-89.913032",4 hour 17 mins
"42.031179,-87.811163","nan,nan",N/A
"42.031179,-87.811163","40.460974,-90.642001",3 hour 54 mins
"42.031179,-87.811163","41.904638,-87.90864",26 mins
"42.031179,-87.811163","41.522057,-88.141464",59 mins
"42.031179,-87.811163","40.147191,-88.254698",2 hour 24 mins
"42.031179,-87.811163","39.140831,-88.562339",3 hour 30 mins
"42.031179,-87.811163","38.759229,-89.68598",4 hour 24 mins
"42.031179,-87.811163","42.015216,-88.148067",36 mins
"42.031179,-87.811163","41.190429,-87.847122",1 hour 17 mins
"42.031179,-87.811163","42.151552,-88.428894",45 mins
"42.031179,-87.811163","42.068444,-87.921486",17 mins
"42.131462,-88.026329","42.170468,-88.335097",32 mins
"42.131462,-88.026329","38.719408,-89.913032",4 hour 13 mins
"42.131462,-88.026329","nan,nan",N/A
"42.131462,-88.026329","40.460974,-90.642001",3 hour 51 mins
"42.131462,-88.026329","41.904638,-87.90864",26 mins
"42.131462,-88.026329","41.522057,-88.141464",55 mins
"42.131462,-88.026329","40.147191,-88.254698",2 hour 28 mins
"42.131462,-88.026329","39.140831,-88.562339",3 hour 33 mins
"42.131462,-88.026329","38.759229,-89.68598",4 hour 20 mins
"42.131462,-88.026329","42.015216,-88.148067",25 mins
"42.131462,-88.026329","41.190429,-87.847122",1 hour 20 mins
"42.131462,-88.026329","42.151552,-88.428894",34 mins
"42.131462,-88.026329","42.068444,-87.921486",19 mins
"40.87479,-88.630826","42.170468,-88.335097",1 hour 58 mins
"40.87479,-88.630826","38.719408,-89.913032",2 hour 43 mins
"40.87479,-88.630826","nan,nan",N/A
"40.87479,-88.630826","40.460974,-90.642001",2 hour 19 mins
"40.87479,-88.630826","41.904638,-87.90864",1 hour 30 mins
"40.87479,-88.630826","41.522057,-88.141464",58 mins
"40.87479,-88.630826","40.147191,-88.254698",1 hour 16 mins
"40.87479,-88.630826","39.140831,-88.562339",2 hour 19 mins
"40.87479,-88.630826","38.759229,-89.68598",2 hour 50 mins
"40.87479,-88.630826","42.015216,-88.148067",1 hour 40 mins
"40.87479,-88.630826","41.190429,-87.847122",1 hour 7 mins
"40.87479,-88.630826","42.151552,-88.428894",1 hour 57 mins
"40.87479,-88.630826","42.068444,-87.921486",1 hour 46 mins
"38.596698,-89.751194","42.170468,-88.335097",4 hour 45 mins
"38.596698,-89.751194","38.719408,-89.913032",25 mins
"38.596698,-89.751194","nan,nan",N/A
"38.596698,-89.751194","40.460974,-90.642001",3 hour 1 mins
"38.596698,-89.751194","41.904638,-87.90864",4 hour 17 mins
"38.596698,-89.751194","41.522057,-88.141464",3 hour 45 mins
"38.596698,-89.751194","40.147191,-88.254698",2 hour 31 mins
"38.596698,-89.751194","39.140831,-88.562339",1 hour 25 mins
"38.596698,-89.751194","38.759229,-89.68598",22 mins
"38.596698,-89.751194","42.015216,-88.148067",4 hour 26 mins
"38.596698,-89.751194","41.190429,-87.847122",3 hour 37 mins
"38.596698,-89.751194","42.151552,-88.428894",4 hour 39 mins
"38.596698,-89.751194","42.068444,-87.921486",4 hour 33 mins
"39.803019,-87.403057","39.766794,-86.530319",1 hour 0 mins
"39.803019,-87.403057","39.04963,-87.126965",1 hour 25 mins
"39.803019,-87.403057","41.548155,-87.17912",2 hour 26 mins
"39.803019,-87.403057","40.165071,-84.964199",2 hour 55 mins
"39.803019,-87.403057","39.661539,-86.145198",1 hour 41 mins
"39.803019,-87.403057","39.711039,-86.119178",1 hour 40 mins
"39.803019,-87.403057","39.910749,-86.216207",1 hour 35 mins
"39.803019,-87.403057","41.47466,-87.299029",2 hour 10 mins
"38.539899,-85.421753","39.766794,-86.530319",2 hour 26 mins
"38.539899,-85.421753","39.04963,-87.126965",2 hour 31 mins
"38.539899,-85.421753","41.548155,-87.17912",4 hour 18 mins
"38.539899,-85.421753","40.165071,-84.964199",3 hour 6 mins
"38.539899,-85.421753","39.661539,-86.145198",1 hour 53 mins
"38.539899,-85.421753","39.711039,-86.119178",1 hour 50 mins
"38.539899,-85.421753","39.910749,-86.216207",2 hour 13 mins
"38.539899,-85.421753","41.47466,-87.299029",4 hour 1 mins
"38.5504,-85.774327","39.766794,-86.530319",1 hour 59 mins
"38.5504,-85.774327","39.04963,-87.126965",2 hour 3 mins
"38.5504,-85.774327","41.548155,-87.17912",3 hour 50 mins
"38.5504,-85.774327","40.165071,-84.964199",2 hour 48 mins
"38.5504,-85.774327","39.661539,-86.145198",1 hour 26 mins
"38.5504,-85.774327","39.711039,-86.119178",1 hour 22 mins
"38.5504,-85.774327","39.910749,-86.216207",1 hour 46 mins
"38.5504,-85.774327","41.47466,-87.299029",3 hour 34 mins
"39.070329,-86.507227","39.766794,-86.530319",1 hour 12 mins
"39.070329,-86.507227","39.04963,-87.126965",49 mins
"39.070329,-86.507227","41.548155,-87.17912",3 hour 24 mins
"39.070329,-86.507227","40.165071,-84.964199",2 hour 27 mins
"39.070329,-86.507227","39.661539,-86.145198",58 mins
"39.070329,-86.507227","39.711039,-86.119178",1 hour 2 mins
"39.070329,-86.507227","39.910749,-86.216207",1 hour 20 mins
"39.070329,-86.507227","41.47466,-87.299029",3 hour 7 mins
"38.337832,-86.314971","39.766794,-86.530319",2 hour 28 mins
"38.337832,-86.314971","39.04963,-87.126965",1 hour 56 mins
"38.337832,-86.314971","41.548155,-87.17912",4 hour 40 mins
"38.337832,-86.314971","40.165071,-84.964199",3 hour 41 mins
"38.337832,-86.314971","39.661539,-86.145198",2 hour 14 mins
"38.337832,-86.314971","39.711039,-86.119178",2 hour 15 mins
"38.337832,-86.314971","39.910749,-86.216207",2 hour 36 mins
"38.337832,-86.314971","41.47466,-87.299029",4 hour 23 mins
"41.25163,-86.735127","39.766794,-86.530319",2 hour 10 mins
"41.25163,-86.735127","39.04963,-87.126965",3 hour 29 mins
"41.25163,-86.735127","41.548155,-87.17912",49 mins
"41.25163,-86.735127","40.165071,-84.964199",2 hour 59 mins
"41.25163,-86.735127","39.661539,-86.145198",2 hour 22 mins
"41.25163,-86.735127","39.711039,-86.119178",2 hour 16 mins
"41.25163,-86.735127","39.910749,-86.216207",2 hour 4 mins
"41.25163,-86.735127","41.47466,-87.299029",49 mins
"41.585185,-87.496665","39.766794,-86.530319",2 hour 25 mins
"41.585185,-87.496665","39.04963,-87.126965",3 hour 43 mins
"41.585185,-87.496665","41.548155,-87.17912",29 mins
"41.585185,-87.496665","40.165071,-84.964199",3 hour 39 mins
"41.585185,-87.496665","39.661539,-86.145198",2 hour 38 mins
"41.585185,-87.496665","39.711039,-86.119178",2 hour 32 mins
"41.585185,-87.496665","39.910749,-86.216207",2 hour 19 mins
"41.585185,-87.496665","41.47466,-87.299029",25 mins
"39.95559,-86.01387","39.766794,-86.530319",53 mins
"39.95559,-86.01387","39.04963,-87.126965",1 hour 50 mins
"39.95559,-86.01387","41.548155,-87.17912",2 hour 32 mins
"39.95559,-86.01387","40.165071,-84.964199",1 hour 12 mins
"39.95559,-86.01387","39.661539,-86.145198",32 mins
"39.95559,-86.01387","39.711039,-86.119178",27 mins
"39.95559,-86.01387","39.910749,-86.216207",22 mins
"39.95559,-86.01387","41.47466,-87.299029",2 hour 15 mins
"41.045647,-85.305823","39.766794,-86.530319",2 hour 22 mins
"41.045647,-85.305823","39.04963,-87.126965",3 hour 19 mins
"41.045647,-85.305823","41.548155,-87.17912",2 hour 12 mins
"41.045647,-85.305823","40.165071,-84.964199",1 hour 36 mins
"41.045647,-85.305823","39.661539,-86.145198",2 hour 1 mins
"41.045647,-85.305823","39.711039,-86.119178",1 hour 55 mins
"41.045647,-85.305823","39.910749,-86.216207",1 hour 51 mins
"41.045647,-85.305823","41.47466,-87.299029",2 hour 12 mins
"42.458243,-95.16624","42.025119,-95.372049",44 mins
"40.604641,-94.388509","42.025119,-95.372049",2 hour 37 mins
"43.002465,-94.501553","42.025119,-95.372049",2 hour 2 mins
"42.980309,-93.872724","42.025119,-95.372049",2 hour 30 mins
"42.67359,-95.29055","42.025119,-95.372049",57 mins
"42.79416,-96.16558","42.025119,-95.372049",1 hour 38 mins
"42.319577,-90.490269","42.025119,-95.372049",4 hour 29 mins
"42.22916,-95.93084","42.025119,-95.372049",42 mins
"41.94138,-93.10326","42.025119,-95.372049",2 hour 17 mins
"41.912837,-91.764387","42.025119,-95.372049",3 hour 21 mins
"37.026243,-96.178281","37.987052,-100.882631",5 hour 18 mins
"37.026243,-96.178281","37.227218,-96.993118",1 hour 1 mins
"37.026243,-96.178281","38.903141,-99.321098",4 hour 19 mins
"37.026243,-96.178281","37.637998,-97.354158",1 hour 47 mins
"37.026243,-96.178281","37.768527,-100.035841",4 hour 23 mins
"37.026243,-96.178281","37.042381,-95.578926",47 mins
"37.026243,-96.178281","37.273851,-97.373129",1 hour 24 mins
"37.026243,-96.178281","38.070038,-97.892188",2 hour 34 mins
"37.026243,-96.178281","37.532754,-97.242867",1 hour 30 mins
"37.026243,-96.178281","39.179857,-95.557262",2 hour 58 mins
"37.026243,-96.178281","37.067048,-100.91685",4 hour 54 mins
"37.026243,-96.178281","38.852846,-94.799902",2 hour 59 mins
"37.026243,-96.178281","37.678041,-96.98773",1 hour 31 mins
"37.026243,-96.178281","39.07377,-94.655409",3 hour 16 mins
"38.474188,-100.464651","37.987052,-100.882631",54 mins
"38.474188,-100.464651","37.227218,-96.993118",4 hour 9 mins
"38.474188,-100.464651","38.903141,-99.321098",1 hour 34 mins
"38.474188,-100.464651","37.637998,-97.354158",3 hour 24 mins
"38.474188,-100.464651","37.768527,-100.035841",1 hour 11 mins
"38.474188,-100.464651","37.042381,-95.578926",5 hour 27 mins
"38.474188,-100.464651","37.273851,-97.373129",3 hour 48 mins
"38.474188,-100.464651","38.070038,-97.892188",2 hour 44 mins
"38.474188,-100.464651","37.532754,-97.242867",3 hour 38 mins
"38.474188,-100.464651","39.179857,-95.557262",4 hour 32 mins
"38.474188,-100.464651","37.067048,-100.91685",1 hour 52 mins
"38.474188,-100.464651","38.852846,-94.799902",5 hour 15 mins
"38.474188,-100.464651","37.678041,-96.98773",3 hour 39 mins
"38.474188,-100.464651","39.07377,-94.655409",5 hour 11 mins
"38.3839,-97.91005","37.987052,-100.882631",2 hour 54 mins
"38.3839,-97.91005","37.227218,-96.993118",1 hour 54 mins
"38.3839,-97.91005","38.903141,-99.321098",1 hour 44 mins
"38.3839,-97.91005","37.637998,-97.354158",1 hour 13 mins
"38.3839,-97.91005","37.768527,-100.035841",2 hour 20 mins
"38.3839,-97.91005","37.042381,-95.578926",3 hour 11 mins
"38.3839,-97.91005","37.273851,-97.373129",1 hour 34 mins
"38.3839,-97.91005","38.070038,-97.892188",29 mins
"38.3839,-97.91005","37.532754,-97.242867",1 hour 23 mins
"38.3839,-97.91005","39.179857,-95.557262",2 hour 34 mins
"38.3839,-97.91005","37.067048,-100.91685",3 hour 35 mins
"38.3839,-97.91005","38.852846,-94.799902",2 hour 52 mins
